Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,2790,2800,2750,2790,0,10.4,3.3,9.615384615,-,-,669
4-Jan-99,2790,2900,2700,2850,240401,10.2,3.2,9.803921569,-,-,684
5-Jan-99,2850,2900,2810,2875,339749,10.1,3.2,9.900990099,-,-,690
6-Jan-99,2915,3070,2915,3050,2110485,9.5,3,10.52631579,-,-,732
7-Jan-99,3135,3450,3135,3250,3757292,9,2.8,11.11111111,-,-,780
8-Jan-99,3250,3325,3205,3280,2118484,8.9,2.8,11.23595506,-,-,787
11-Jan-99,3280,3310,3125,3180,563830,9.1,2.9,10.98901099,-,-,763
12-Jan-99,3180,3220,3130,3145,415560,9.2,2.9,10.86956522,-,-,755
13-Jan-99,3085,3085,2880,2910,1069934,10,3.1,10,-,-,698
14-Jan-99,2910,3000,2780,2800,1518204,10.4,3.2,9.615384615,-,-,672
15-Jan-99,2800,2800,2675,2690,1208845,10.8,3.4,9.259259259,-,-,645
18-Jan-99,2780,2975,2780,2950,1330343,9.9,3.1,10.1010101,-,-,708
19-Jan-99,2950,3100,2880,3080,621020,9.4,3,10.63829787,-,-,739
20-Jan-99,3080,3100,2980,3040,345776,9.6,3,10.41666667,-,-,729
21-Jan-99,3040,3045,2940,2990,929456,9.7,3,10.30927835,-,-,717
22-Jan-99,2950,2950,2800,2810,911938,10.4,3.2,9.615384615,-,-,674
25-Jan-99,2810,2900,2750,2900,542454,10,3.1,10,-,-,696
26-Jan-99,2900,2970,2850,2885,573932,10.1,3.2,9.900990099,-,-,692
27-Jan-99,2885,2925,2850,2915,1405239,10,3.1,10,-,-,699
28-Jan-99,2915,3030,2880,3030,904110,9.6,3,10.41666667,-,-,727
29-Jan-99,3030,3085,2950,2975,395010,9.8,3.1,10.20408163,-,-,714
1-Feb-99,2975,3020,2950,2965,506171,9.8,3.1,10.20408163,-,-,711
2-Feb-99,2955,2955,2900,2935,416232,9.9,3.1,10.1010101,-,-,704
3-Feb-99,2935,2975,2880,2930,781842,9.9,3.1,10.1010101,-,-,703
4-Feb-99,2930,2990,2920,2930,892949,9.9,3.1,10.1010101,-,-,703
5-Feb-99,2930,2940,2900,2930,2002931,9.9,3.1,10.1010101,-,-,703
8-Feb-99,2950,2965,2950,2955,585905,9.8,3.1,10.20408163,-,-,709
9-Feb-99,2950,2950,2870,2910,778359,10,3.1,10,-,-,698
10-Feb-99,2910,2920,2800,2900,289713,10,3.1,10,-,-,696
11-Feb-99,2900,2980,2900,2960,1012996,9.8,3.1,10.20408163,-,-,710
12-Feb-99,2960,3010,2950,2950,674610,9.9,3.1,10.1010101,-,-,708
15-Feb-99,2950,2990,2915,2920,236421,10,3.1,10,-,-,701
16-Feb-99,2920,2940,2880,2910,725580,10,3.1,10,-,-,698
17-Feb-99,2910,2920,2860,2900,775926,10,3.1,10,-,-,696
18-Feb-99,2900,2925,2850,2880,606394,10.1,3.2,9.900990099,-,-,691
19-Feb-99,2880,2895,2830,2850,343886,10.2,3.2,9.803921569,-,-,684
22-Feb-99,2850,2900,2800,2900,314953,10,3.1,10,-,-,696
23-Feb-99,2900,2950,2850,2850,1147549,10.2,3.2,9.803921569,-,-,684
24-Feb-99,2850,2850,2810,2815,547676,10.3,3.2,9.708737864,-,-,675
25-Feb-99,2815,2825,2760,2800,678839,10.4,3.2,9.615384615,-,-,672
26-Feb-99,2775,2775,2670,2700,1873408,10.8,3.4,9.259259259,-,-,648
1-Mar-99,2700,2725,2680,2725,606364,10.7,3.3,9.345794393,-,-,654
2-Mar-99,2725,2760,2700,2735,413335,10.6,3.3,9.433962264,-,-,656
3-Mar-99,2735,2850,2735,2810,627543,10.4,3.2,9.615384615,-,-,674
4-Mar-99,2810,2950,2805,2925,746727,9.9,3.1,10.1010101,-,-,702
5-Mar-99,3000,3155,3000,3150,2893562,9.2,2.9,10.86956522,-,-,756
8-Mar-99,3150,3250,3140,3200,1432331,9.1,2.8,10.98901099,-,-,768
9-Mar-99,3200,3205,3110,3150,508844,9.2,2.9,10.86956522,-,-,756
10-Mar-99,3150,3185,3020,3050,122692,9.5,3,10.52631579,-,-,732
11-Mar-99,3050,3080,3025,3060,976377,9.5,3,10.52631579,-,-,734
12-Mar-99,3060,3060,3000,3050,954855,9.5,3,10.52631579,-,-,732
15-Mar-99,3050,3110,2900,3100,1215053,9.4,2.9,10.63829787,-,-,744
16-Mar-99,3120,3225,3120,3225,1300318,9,2.8,11.11111111,-,-,774
17-Mar-99,3225,3260,3195,3225,969591,9,2.8,11.11111111,-,-,774
18-Mar-99,3225,3260,3180,3180,2567530,9.1,2.9,10.98901099,-,-,763
19-Mar-99,3180,3270,3150,3215,655544,9,2.8,11.11111111,-,-,771
22-Mar-99,3215,3270,3150,3215,0,9,2.8,11.11111111,-,-,771
23-Mar-99,3215,3225,3150,3175,1913069,9.2,2.9,10.86956522,-,-,762
24-Mar-99,3175,3200,3075,3165,765717,9.2,2.9,10.86956522,-,-,759
25-Mar-99,3165,3210,3165,3210,836291,9.1,2.8,10.98901099,-,-,770
26-Mar-99,3210,3220,3100,3150,1483351,9.2,2.9,10.86956522,-,-,756
29-Mar-99,3125,3125,2950,3010,951362,9.7,3,10.30927835,-,-,722
30-Mar-99,3010,3110,2950,2995,383159,9.7,3,10.30927835,-,-,719
31-Mar-99,2995,3000,2900,2950,802311,9.9,3.1,10.1010101,-,-,708
1-Apr-99,2950,2970,2850,2930,1073338,9.9,3.1,10.1010101,-,-,703
2-Apr-99,2930,2970,2850,2930,0,9.9,3.1,10.1010101,-,-,703
5-Apr-99,2930,2970,2850,2930,0,9.9,3.1,10.1010101,-,-,703
6-Apr-99,2930,3000,2900,2920,430902,10,3.1,10,-,-,701
7-Apr-99,2950,2990,2950,2990,685063,9.7,3,10.30927835,-,-,717
8-Apr-99,2990,2990,2930,2970,2083040,9.8,3.1,10.20408163,-,-,713
9-Apr-99,2960,2960,2860,2915,1454641,10,3.1,10,-,-,699
12-Apr-99,2910,2910,2850,2890,945032,10.1,3.1,9.900990099,-,-,693
13-Apr-99,2895,2940,2895,2925,754874,9.9,3.1,10.1010101,-,-,702
14-Apr-99,2925,2960,2920,2950,423341,9.9,3.1,10.1010101,-,-,708
15-Apr-99,2945,2945,2880,2900,733490,10,3.1,10,-,-,696
16-Apr-99,2900,2910,2800,2885,649481,10.1,3.2,9.900990099,-,-,692
19-Apr-99,2885,2910,2790,2900,943703,10,3.1,10,-,-,696
20-Apr-99,2860,2860,2800,2830,725490,10.3,3.2,9.708737864,-,-,679
