Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,750,850,730,750,0,28.4,12,3.521126761,-,-,50
4-Jan-99,750,760,745,750,64050,28.4,12,3.521126761,-,-,50
5-Jan-99,750,750,720,720,76450,29.6,12.5,3.378378378,-,-,48
6-Jan-99,720,745,715,715,94200,29.8,12.6,3.355704698,-,-,48
7-Jan-99,715,740,700,702,531900,30.3,12.8,3.300330033,-,-,47
8-Jan-99,702,710,650,650,234500,32.8,13.8,3.048780488,-,-,43
11-Jan-99,700,770,700,750,966797,28.4,12,3.521126761,-,-,50
12-Jan-99,750,750,745,750,323280,28.4,12,3.521126761,-,-,50
13-Jan-99,740,740,700,710,189180,30,12.7,3.333333333,-,-,47
14-Jan-99,710,725,710,715,178704,29.8,12.6,3.355704698,-,-,48
15-Jan-99,700,700,690,700,98840,30.4,12.9,3.289473684,-,-,47
18-Jan-99,720,745,720,745,431073,28.6,12.1,3.496503497,-,-,50
19-Jan-99,750,830,750,830,1409500,25.7,10.8,3.891050584,-,-,55
20-Jan-99,831,965,831,940,1098886,22.7,9.6,4.405286344,-,-,63
21-Jan-99,930,930,890,910,362950,23.4,9.9,4.273504274,-,-,61
22-Jan-99,910,910,885,900,157800,23.7,10,4.219409283,-,-,60
25-Jan-99,888,888,850,875,91700,24.3,10.3,4.115226337,-,-,59
26-Jan-99,875,900,850,850,113850,25.1,10.6,3.984063745,-,-,57
27-Jan-99,850,900,850,885,255899,24.1,10.2,4.149377593,-,-,59
28-Jan-99,875,875,850,870,151700,24.5,10.3,4.081632653,-,-,58
29-Jan-99,870,875,850,850,175800,25.1,10.6,3.984063745,-,-,57
1-Feb-99,855,870,855,860,68500,24.8,10.5,4.032258065,-,-,57
2-Feb-99,860,895,860,885,190400,24.1,10.2,4.149377593,-,-,59
3-Feb-99,885,910,875,900,217700,23.7,10,4.219409283,-,-,60
4-Feb-99,915,945,915,940,297688,22.7,9.6,4.405286344,-,-,63
5-Feb-99,940,950,900,915,413400,23.3,9.8,4.291845494,-,-,61
8-Feb-99,915,935,915,930,250500,22.9,9.7,4.366812227,-,-,62
9-Feb-99,930,939,930,937,185100,22.7,9.6,4.405286344,-,-,63
10-Feb-99,937,945,900,945,138850,22.5,9.5,4.444444444,-,-,63
11-Feb-99,945,1025,935,1025,356319,20.8,8.8,4.807692308,-,-,69
12-Feb-99,1025,1060,1025,1050,1369100,20.3,8.6,4.926108374,-,-,70
15-Feb-99,1055,1120,1055,1100,321850,19.4,8.2,5.154639175,-,-,74
16-Feb-99,1090,1090,1075,1075,134698,19.8,8.4,5.050505051,-,-,72
17-Feb-99,1075,1080,1050,1070,98297,19.9,8.4,5.025125628,-,-,72
18-Feb-99,1070,1070,1025,1030,30281,20.7,8.7,4.830917874,-,-,69
19-Feb-99,990,990,900,924,429450,23.1,9.7,4.329004329,-,-,62
22-Feb-99,924,925,918,925,232851,23,9.7,4.347826087,-,-,62
23-Feb-99,910,910,881,900,507800,23.7,10,4.219409283,-,-,60
24-Feb-99,900,940,900,915,638300,14.6,6,6.849315068,-,-,61
25-Feb-99,915,925,910,915,379300,14.6,6,6.849315068,-,-,61
