Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,700,701,700,700,0,10.2,5.4,9.803921569,-,-,80
4-Jan-99,680,680,670,670,1500,10.7,5.6,9.345794393,-,-,76
5-Jan-99,670,674,665,670,82533,10.7,5.6,9.345794393,-,-,76
6-Jan-99,675,700,675,700,32680,10.2,5.4,9.803921569,-,-,80
7-Jan-99,710,730,710,730,1457342,9.8,5.2,10.20408163,-,-,83
8-Jan-99,740,780,740,752,267493,9.5,5,10.52631579,-,-,86
11-Jan-99,752,754,730,730,27720,9.8,5.2,10.20408163,-,-,83
12-Jan-99,730,732,730,730,4534,9.8,5.2,10.20408163,-,-,83
13-Jan-99,720,720,710,720,21901,9.9,5.2,10.1010101,-,-,82
14-Jan-99,720,720,720,720,2400,9.9,5.2,10.1010101,-,-,82
15-Jan-99,720,720,719,720,4900,9.9,5.2,10.1010101,-,-,82
18-Jan-99,730,740,730,740,17000,9.6,5.1,10.41666667,-,-,84
19-Jan-99,730,730,730,730,909,9.8,5.2,10.20408163,-,-,83
20-Jan-99,740,750,740,750,569888,9.5,5,10.52631579,-,-,86
21-Jan-99,750,750,725,735,15381,9.7,5.1,10.30927835,-,-,84
22-Jan-99,720,720,715,720,25389,9.9,5.2,10.1010101,-,-,82
25-Jan-99,710,710,705,710,38696,10.1,5.3,9.900990099,-,-,81
26-Jan-99,720,725,720,720,131721,9.9,5.2,10.1010101,-,-,82
27-Jan-99,720,740,720,740,380044,9.6,5.1,10.41666667,-,-,84
28-Jan-99,740,750,721,750,76684,9.5,5,10.52631579,-,-,86
29-Jan-99,750,850,740,850,169446,8.4,4.4,11.9047619,-,-,97
1-Feb-99,820,820,820,820,200,8.7,4.6,11.49425287,-,-,94
2-Feb-99,820,820,800,800,6280,8.9,4.7,11.23595506,-,-,91
3-Feb-99,770,770,690,720,138724,9.9,5.2,10.1010101,-,-,82
4-Feb-99,720,755,720,755,27310,9.5,5,10.52631579,-,-,86
5-Feb-99,750,750,740,740,3793,9.6,5.1,10.41666667,-,-,84
8-Feb-99,760,770,760,770,66383,9.3,4.9,10.75268817,-,-,88
9-Feb-99,770,780,760,760,59144,9.4,5,10.63829787,-,-,87
10-Feb-99,760,760,740,740,46646,9.6,5.1,10.41666667,-,-,84
11-Feb-99,735,735,735,735,9586,9.7,5.1,10.30927835,-,-,84
12-Feb-99,740,750,740,750,1596,9.5,5,10.52631579,-,-,86
15-Feb-99,750,765,750,765,2964902,9.3,4.9,10.75268817,-,-,87
16-Feb-99,771,799,771,799,10011,8.9,4.7,11.23595506,-,-,91
17-Feb-99,799,800,790,800,65769,8.9,4.7,11.23595506,-,-,91
18-Feb-99,800,800,793,800,104231,8.9,4.7,11.23595506,-,-,91
19-Feb-99,800,805,790,800,48320,8.9,4.7,11.23595506,-,-,91
22-Feb-99,800,800,790,800,614,8.9,4.7,11.23595506,-,-,91
23-Feb-99,800,800,790,800,30300,8.9,4.7,11.23595506,-,-,91
24-Feb-99,790,790,790,790,5216,9,4.8,11.11111111,-,-,90
25-Feb-99,775,775,765,765,59031,9.3,4.9,10.75268817,-,-,87
26-Feb-99,765,800,750,800,56227,8.9,4.7,11.23595506,-,-,91
1-Mar-99,800,800,750,770,27827,9.3,4.9,10.75268817,-,-,88
2-Mar-99,770,770,765,770,30110,9.3,4.9,10.75268817,-,-,88
3-Mar-99,770,770,760,770,3221149,9.3,4.9,10.75268817,-,-,88
4-Mar-99,800,800,800,800,18000,8.9,4.7,11.23595506,-,-,91
5-Mar-99,800,850,800,850,828067,8.4,4.4,11.9047619,-,-,97
8-Mar-99,850,865,840,850,14860,8.4,4.4,11.9047619,-,-,97
9-Mar-99,850,850,830,830,123921,8.6,4.5,11.62790698,-,-,95
10-Mar-99,830,860,830,860,628659,8.3,4.4,12.04819277,-,-,98
11-Mar-99,865,925,865,925,107707,7.7,4.1,12.98701299,-,-,106
12-Mar-99,925,925,885,900,45657,7.9,4.2,12.65822785,-,-,103
15-Mar-99,925,950,925,950,538730,7.5,4,13.33333333,-,-,109
16-Mar-99,950,953,950,950,861002,7.5,4,13.33333333,-,-,109
17-Mar-99,950,960,950,960,27421,7.4,3.9,13.51351351,-,-,110
18-Mar-99,960,1000,950,950,54972,7.5,4,13.33333333,-,-,109
19-Mar-99,950,970,950,965,85435,7.4,3.9,13.51351351,-,-,110
22-Mar-99,965,970,950,965,0,7.4,3.9,13.51351351,-,-,110
23-Mar-99,965,965,950,965,4628400,7.4,3.9,13.51351351,-,-,110
24-Mar-99,960,960,900,960,487,7.4,3.9,13.51351351,-,-,110
25-Mar-99,930,930,915,920,311447,7.8,4.1,12.82051282,-,-,105
26-Mar-99,920,925,920,925,21336,7.7,4.1,12.98701299,-,-,106
29-Mar-99,925,941,920,941,805900,7.6,4,13.15789474,-,-,108
