Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,223.2,223.2,223.2,223.2,0,0,0,0,-,-,52
4-Jan-99,223.2,225,225,225,271100,0,0,0,-,-,52
5-Jan-99,225,240,240,240,199000,0,0,0,-,-,56
6-Jan-99,240,270,270,270,218100,0,0,0,-,-,63
7-Jan-99,270,270,270,270,246418,0,0,0,-,-,63
8-Jan-99,270,270,270,270,708800,0,0,0,-,-,63
11-Jan-99,270,277.2,277.2,277.2,29920,0,0,0,-,-,65
12-Jan-99,277.2,255,255,255,7212,0,0,0,-,-,59
13-Jan-99,255,234,234,234,45492,0,0,0,-,-,55
14-Jan-99,234,222,222,222,102294,0,0,0,-,-,52
15-Jan-99,222,210,210,210,317444,0,0,0,-,-,49
18-Jan-99,210,214.2,214.2,214.2,117794,0,0,0,-,-,50
19-Jan-99,214.2,217.2,217.2,217.2,426242,0,0,0,-,-,51
20-Jan-99,217.2,216,216,216,61000,0,0,0,-,-,50
21-Jan-99,216,216,216,216,7622,0,0,0,-,-,50
22-Jan-99,216,228,228,228,41160,0,0,0,-,-,53
25-Jan-99,228,219,219,219,27160,0,0,0,-,-,51
26-Jan-99,219,219.6,219.6,219.6,3000,0,0,0,-,-,51
27-Jan-99,219.6,225,225,225,39920,0,0,0,-,-,52
28-Jan-99,225,231,231,231,3000,0,0,0,-,-,54
29-Jan-99,231,231,231,231,57320,0,0,0,-,-,54
1-Feb-99,231,225,225,225,50972,0,0,0,-,-,52
2-Feb-99,225,219,219,219,842442,0,0,0,-,-,51
3-Feb-99,219,219,219,219,174046,0,0,0,-,-,51
4-Feb-99,219,228,228,228,95200,0,0,0,-,-,53
5-Feb-99,228,234,234,234,92904,0,0,0,-,-,55
8-Feb-99,234,237,237,237,12632,0,0,0,-,-,55
9-Feb-99,237,231,231,231,1005154,0,0,0,-,-,54
10-Feb-99,231,229.2,229.2,229.2,1032600,0,0,0,-,-,53
11-Feb-99,229.2,234,234,234,36240,0,0,0,-,-,55
12-Feb-99,234,234,234,234,406142,0,0,0,-,-,55
15-Feb-99,234,240,240,240,185902,0,0,0,-,-,56
16-Feb-99,240,240,240,240,26222,0,0,0,-,-,56
17-Feb-99,240,240,240,240,996400,0,0,0,-,-,56
18-Feb-99,240,240,240,240,2508,0,0,0,-,-,56
19-Feb-99,240,240,240,240,84924,0,0,0,-,-,56
22-Feb-99,240,234,234,234,27696,0,0,0,-,-,55
23-Feb-99,234,243,243,243,1646600,0,0,0,-,-,57
24-Feb-99,243,244.2,244.2,244.2,26600,0,0,0,-,-,57
25-Feb-99,244.2,232.2,232.2,232.2,188310,0,0,0,-,-,54
26-Feb-99,232.2,231,231,231,36800,0,0,0,-,-,54
1-Mar-99,231,234,234,234,3790750,0,0,0,-,-,55
2-Mar-99,234,228,228,228,1775066,0,0,0,-,-,53
3-Mar-99,228,225,225,225,417926,0,0,0,-,-,52
4-Mar-99,225,225,225,225,1826800,0,0,0,-,-,52
5-Mar-99,225,237,237,237,915400,0,0,0,-,-,55
8-Mar-99,237,240,240,240,609690,0,0,0,-,-,56
9-Mar-99,240,235.2,235.2,235.2,714860,0,0,0,-,-,55
10-Mar-99,235.2,237,237,237,272460,0,0,0,-,-,55
11-Mar-99,237,270,270,270,2227132,0,0,0,-,-,63
12-Mar-99,270,252,252,252,138448,0,0,0,-,-,59
15-Mar-99,252,253.2,253.2,253.2,119888,0,0,0,-,-,59
16-Mar-99,253.2,258,258,258,162510,0,0,0,-,-,60
17-Mar-99,258,255,255,255,1228730,0,0,0,-,-,59
18-Mar-99,255,270,270,270,203418,0,0,0,-,-,63
19-Mar-99,270,277.2,277.2,277.2,154166,0,0,0,-,-,65
22-Mar-99,277.2,277.2,277.2,277.2,0,0,0,0,-,-,65
23-Mar-99,277.2,273,273,273,622486,0,0,0,-,-,64
24-Mar-99,273,261,261,261,160200,0,0,0,-,-,61
25-Mar-99,261,261,261,261,20000,0,0,0,-,-,61
26-Mar-99,261,247.2,247.2,247.2,160400,0,0,0,-,-,58
29-Mar-99,247.2,240,240,240,246210,0,0,0,-,-,56
30-Mar-99,240,240,240,240,645454,0,0,0,-,-,56
31-Mar-99,240,231,231,231,493442,0,0,0,-,-,54
1-Apr-99,231,231,231,231,0,0,0,0,-,-,54
2-Apr-99,231,231,231,231,0,0,0,0,-,-,54
5-Apr-99,231,231,231,231,0,0,0,0,-,-,54
6-Apr-99,231,231,231,231,147240,0,0,0,-,-,54
7-Apr-99,231,231,231,231,14000,0,0,0,-,-,54
8-Apr-99,231,240,240,240,49600,0,0,0,-,-,56
9-Apr-99,240,250.2,250.2,250.2,79600,0,0,0,-,-,58
12-Apr-99,250.2,255,255,255,1024200,0,0,0,-,-,59
13-Apr-99,255,270,270,270,261432,0,0,0,-,-,63
14-Apr-99,270,261,261,261,1307600,0,0,0,-,-,61
15-Apr-99,261,258,258,258,807400,0,0,0,-,-,60
16-Apr-99,258,261,261,261,5060,0,0,0,-,-,61
19-Apr-99,261,261,261,261,66252,0,0,0,-,-,61
20-Apr-99,261,256.2,256.2,256.2,310970,0,0,0,-,-,60
21-Apr-99,256.2,252,252,252,541096,0,0,0,-,-,59
22-Apr-99,252,249,249,249,260022,0,0,0,-,-,58
23-Apr-99,249,244.2,244.2,244.2,107600,0,0,0,-,-,57
26-Apr-99,244.2,237,237,237,203200,0,0,0,-,-,55
27-Apr-99,237,237,237,237,0,0,0,0,-,-,55
28-Apr-99,237,228,228,228,118200,0,0,0,-,-,53
29-Apr-99,228,228,228,228,39572,0,0,0,-,-,53
30-Apr-99,228,228,228,228,150000,0,0,0,-,-,53
3-May-99,228,222,222,222,762200,0,0,0,-,-,52
4-May-99,222,234,234,234,70528,0,0,0,-,-,55
5-May-99,234,219,219,219,49370,0,0,0,-,-,51
6-May-99,219,213,213,213,1080554,0,0,0,-,-,50
7-May-99,213,204,204,204,480364,0,0,0,-,-,47
10-May-99,204,198,198,198,314748,0,0,0,-,-,46
11-May-99,198,210,210,210,15796,0,0,0,-,-,49
12-May-99,210,210,210,210,383232,0,0,0,-,-,49
13-May-99,210,210,210,210,246076,0,0,0,-,-,49
14-May-99,210,219,219,219,240654,0,0,0,-,-,51
17-May-99,219,200.4,200.4,200.4,183306,0,0,0,-,-,47
18-May-99,200.4,192,192,192,345786,0,0,0,-,-,45
19-May-99,192,186,186,186,101106,0,0,0,-,-,43
20-May-99,186,186,186,186,2118694,0,0,0,-,-,43
21-May-99,186,195,195,195,403580,0,0,0,-,-,45
24-May-99,195,208.2,208.2,208.2,80872,0,0,0,-,-,48
25-May-99,208.2,205.2,205.2,205.2,159130,0,0,0,-,-,48
26-May-99,205.2,193.2,193.2,193.2,785642,0,0,0,-,-,45
27-May-99,193.2,195,195,195,770258,0,0,0,-,-,45
28-May-99,195,190.8,190.8,190.8,1251230,0,0,0,-,-,44
31-May-99,190.8,190.8,190.8,190.8,2205800,0,0,0,-,-,44
1-Jun-99,190.8,192,192,192,479556,0,0,0,-,-,45
2-Jun-99,192,192,192,192,0,0,0,0,-,-,45
3-Jun-99,192,204,204,204,2380854,0,0,0,-,-,47
4-Jun-99,204,205.2,205.2,205.2,2646662,0,0,0,-,-,48
7-Jun-99,205.2,217.2,217.2,217.2,410000,0,0,0,-,-,51
8-Jun-99,217.2,222,222,222,2970718,0,0,0,-,-,52
9-Jun-99,222,222.6,222.6,222.6,1176502,0,0,0,-,-,52
10-Jun-99,222.6,219.6,219.6,219.6,376260,0,0,0,-,-,51
11-Jun-99,219.6,219,219,219,609344,0,0,0,-,-,51
14-Jun-99,219,222,222,222,979400,0,0,0,-,-,52
15-Jun-99,222,225,225,225,1045190,0,0,0,-,-,52
16-Jun-99,225,225,225,225,0,0,0,0,-,-,52
17-Jun-99,225,228,228,228,452000,0,0,0,-,-,53
18-Jun-99,228,229.2,229.2,229.2,282556,0,0,0,-,-,53
21-Jun-99,229.2,237,237,237,548754,0,0,0,-,-,55
22-Jun-99,237,243,243,243,1158362,0,0,0,-,-,57
23-Jun-99,243,238.8,238.8,238.8,605000,0,0,0,-,-,56
24-Jun-99,238.8,236.4,236.4,236.4,4247994,0,0,0,-,-,55
25-Jun-99,236.4,234,234,234,2355544,0,0,0,-,-,55
28-Jun-99,234,232.2,232.2,232.2,23280,0,0,0,-,-,55
29-Jun-99,232.2,237,237,237,201324,0,0,0,-,-,56
30-Jun-99,237,245.4,245.4,245.4,561572,0,0,0,-,-,58
1-Jul-99,245.4,243,243,243,725238,0,0,0,-,-,57
2-Jul-99,243,240,240,240,546644,0,0,0,-,-,56
5-Jul-99,240,240,240,240,207193,0,0,0,-,-,56
6-Jul-99,240,231,231,231,2761510,0,0,0,-,-,54
7-Jul-99,231,216,216,216,3072892,0,0,0,-,-,51
8-Jul-99,216,216,216,216,2260999,0,0,0,-,-,51
9-Jul-99,216,222,222,222,669877,0,0,0,-,-,52
12-Jul-99,222,224.4,224.4,224.4,866914,0,0,0,-,-,53
13-Jul-99,224.4,213,213,213,1438797,0,0,0,-,-,50
14-Jul-99,213,216,216,216,3993406,0,0,0,-,-,51
15-Jul-99,216,219,219,219,1353466,0,0,0,-,-,51
16-Jul-99,219,217.2,217.2,217.2,1262444,0,0,0,-,-,51
19-Jul-99,217.2,225,225,225,1756267,0,0,0,-,-,53
20-Jul-99,225,223.2,223.2,223.2,2357383,0,0,0,-,-,52
21-Jul-99,223.2,219,219,219,387546,0,0,0,-,-,51
22-Jul-99,219,222,222,222,245299,0,0,0,-,-,52
23-Jul-99,222,219,219,219,348535,0,0,0,-,-,51
26-Jul-99,219,214.2,214.2,214.2,64710,0,0,0,-,-,50
27-Jul-99,214.2,213,213,213,760486,0,0,0,-,-,50
28-Jul-99,213,225,225,225,184725,0,0,0,-,-,53
29-Jul-99,225,219,219,219,378273,0,0,0,-,-,51
30-Jul-99,219,216,216,216,24706,0,0,0,-,-,51
2-Aug-99,216,210,210,210,473675,0,0,0,-,-,49
3-Aug-99,210,222,222,222,2089244,0,0,0,-,-,52
4-Aug-99,222,234,234,234,4970251,0,0,0,-,-,55
5-Aug-99,234,231.6,231.6,231.6,2075095,0,0,0,-,-,54
6-Aug-99,231.6,234,234,234,142133,0,0,0,-,-,55
9-Aug-99,234,234,234,234,0,0,0,0,-,-,55
10-Aug-99,234,216,216,216,188481,0,0,0,-,-,51
11-Aug-99,216,228,228,228,11124,0,0,0,-,-,54
12-Aug-99,228,240,240,240,285269,0,0,0,-,-,56
13-Aug-99,240,246,246,246,124897,0,0,0,-,-,58
16-Aug-99,246,255,255,255,118055,0,0,0,-,-,60
17-Aug-99,255,264,264,264,365963,0,0,0,-,-,62
18-Aug-99,264,270,270,270,382187,0,0,0,-,-,64
19-Aug-99,270,270,270,270,5822142,0,0,0,-,-,64
20-Aug-99,270,258,258,258,435498,0,0,0,-,-,61
23-Aug-99,258,252,252,252,103825,0,0,0,-,-,59
24-Aug-99,252,240,240,240,192430,0,0,0,-,-,56
25-Aug-99,240,240.6,240.6,240.6,19768,0,0,0,-,-,57
26-Aug-99,240.6,240,240,240,7432197,0,0,0,-,-,56
27-Aug-99,240,243,243,243,560536,0,0,0,-,-,57
30-Aug-99,243,255,255,255,1119008,0,0,0,-,-,60
31-Aug-99,255,246,246,246,259089,0,0,0,-,-,58
1-Sep-99,246,255,255,255,1532887,0,0,0,-,-,60
2-Sep-99,255,258,258,258,823030,0,0,0,-,-,61
3-Sep-99,258,264,264,264,542111,0,0,0,-,-,62
6-Sep-99,264,270.6,270.6,270.6,846016,0,0,0,-,-,64
7-Sep-99,270.6,264,264,264,464206,0,0,0,-,-,62
8-Sep-99,264,258.6,258.6,258.6,866657,0,0,0,-,-,61
9-Sep-99,258.6,270,270,270,1645701,0,0,0,-,-,64
10-Sep-99,270,261,261,261,439101,0,0,0,-,-,61
13-Sep-99,261,264,264,264,1096236,0,0,0,-,-,62
14-Sep-99,264,267,267,267,90962,0,0,0,-,-,63
15-Sep-99,267,255,255,255,345263,0,0,0,-,-,60
16-Sep-99,255,252,252,252,52441,0,0,0,-,-,59
17-Sep-99,252,255,255,255,287513,0,0,0,-,-,60
20-Sep-99,255,258,258,258,563290,0,0,0,-,-,61
21-Sep-99,258,258,258,258,1871736,0,0,0,-,-,61
22-Sep-99,258,255,255,255,750520,0,0,0,-,-,60
23-Sep-99,255,270,270,270,451959,0,0,0,-,-,64
24-Sep-99,270,270,270,270,0,0,0,0,-,-,64
27-Sep-99,270,253.2,253.2,253.2,142200,0,0,0,-,-,60
28-Sep-99,253.2,253.2,253.2,253.2,499594,0,0,0,-,-,60
29-Sep-99,253.2,256.2,256.2,256.2,1854948,0,0,0,-,-,60
30-Sep-99,256.2,258,258,258,1683487,0,0,0,-,-,61
1-Oct-99,258,258,258,258,286647,0,0,0,-,-,61
4-Oct-99,258,269.4,269.4,269.4,178473,0,0,0,-,-,63
5-Oct-99,269.4,270,270,270,1720010,0,0,0,-,-,64
6-Oct-99,270,270,270,270,95482,0,0,0,-,-,64
7-Oct-99,270,270,270,270,337443,0,0,0,-,-,64
8-Oct-99,270,279,279,279,197793,0,0,0,-,-,66
11-Oct-99,279,279,279,279,107325,0,0,0,-,-,66
12-Oct-99,279,297,297,297,292545,0,0,0,-,-,70
13-Oct-99,297,297,297,297,80449,9.6,5.7,10.41666667,-,-,70
14-Oct-99,297,303,303,303,74973,9.4,5.5,10.63829787,-,-,71
15-Oct-99,303,294,294,294,67856,9.6,5.7,10.41666667,-,-,69
18-Oct-99,294,294,294,294,36619,9.6,5.7,10.41666667,-,-,69
19-Oct-99,294,300,300,300,68128,9.5,5.6,10.52631579,-,-,71
