Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,1198,1199,1197,1198,0,15.327,1.0692957,6.524434005,-,-,578.406132
4-Jan-99,1178,1178,1163,1164,181317,16.039,1.0692957,6.234802668,-,-,561.990599
5-Jan-99,1164,1170,1162,1166,313064,16.039,1.0692957,6.234802668,-,-,562.956219
6-Jan-99,1170,1257,1170,1234,590466,14.97,1.0692957,6.68002672,-,-,595.787285
7-Jan-99,1255,1282,1255,1268,305378,14.614,1.0692957,6.842753524,-,-,612.202818
8-Jan-99,1291,1335,1291,1296,223015,14.257,0.7128638,7.014098338,-,-,625.721492
11-Jan-99,1296,1313,1296,1305,150963,14.257,0.7128638,7.014098338,-,-,630.06678
12-Jan-99,1296,1296,1284,1284,68993,14.614,1.0692957,6.842753524,-,-,619.927774
13-Jan-99,1248,1248,1177,1192,183059,15.683,1.0692957,6.376331059,-,-,575.509273
14-Jan-99,1192,1209,1178,1206,119201,15.327,1.0692957,6.524434005,-,-,582.26861
15-Jan-99,1206,1270,1167,1234,122003,14.97,1.0692957,6.68002672,-,-,595.787284
18-Jan-99,1236,1278,1236,1278,291341,14.614,1.0692957,6.842753524,-,-,617.030915
19-Jan-99,1278,1319,1277,1303,102914,14.257,0.7128638,7.014098338,-,-,629.10116
20-Jan-99,1303,1319,1302,1307,37840,14.257,0.7128638,7.014098338,-,-,631.032399
21-Jan-99,1302,1302,1285,1291,390929,14.257,0.7128638,7.014098338,-,-,623.307442
22-Jan-99,1285,1285,1234,1234,227209,14.97,1.0692957,6.68002672,-,-,595.787284
25-Jan-99,1232,1232,1206,1232,199268,14.97,1.0692957,6.68002672,-,-,594.821664
26-Jan-99,1234,1277,1234,1240,120328,14.97,1.0692957,6.68002672,-,-,598.684142
27-Jan-99,1248,1272,1248,1270,311880,14.614,1.0692957,6.842753524,-,-,613.168436
28-Jan-99,1270,1298,1255,1291,673944,14.257,0.7128638,7.014098338,-,-,623.307442
29-Jan-99,1305,1327,1305,1324,177563,13.901,0.7128638,7.19372707,-,-,639.240165
1-Feb-99,1324,1338,1319,1333,138642,13.901,0.7128638,7.19372707,-,-,643.585453
2-Feb-99,1333,1335,1319,1333,393920,13.901,0.7128638,7.19372707,-,-,643.585453
3-Feb-99,1333,1333,1316,1316,68537,14.257,0.7128638,7.014098338,-,-,635.377687
4-Feb-99,1316,1330,1316,1316,195278,14.257,0.7128638,7.014098338,-,-,635.377687
5-Feb-99,1316,1321,1298,1319,294930,13.901,0.7128638,7.19372707,-,-,636.826116
8-Feb-99,1319,1327,1319,1324,168128,13.901,0.7128638,7.19372707,-,-,639.240165
9-Feb-99,1319,1319,1291,1293,383150,14.257,0.7128638,7.014098338,-,-,624.273061
10-Feb-99,1291,1291,1263,1271,278435,14.614,1.0692957,6.842753524,-,-,613.651246
11-Feb-99,1271,1296,1271,1296,172807,14.257,0.7128638,7.014098338,-,-,625.721491
12-Feb-99,1296,1319,1277,1291,162645,14.257,0.7128638,7.014098338,-,-,623.307442
15-Feb-99,1291,1302,1263,1299,191496,17.109,0.7128638,5.844876965,-,-,627.16992
16-Feb-99,1299,1305,1298,1302,234690,17.109,0.7128638,5.844876965,-,-,628.618349
17-Feb-99,1302,1310,1263,1299,170436,17.109,0.7128638,5.844876965,-,-,627.16992
18-Feb-99,1307,1320,1307,1316,350325,17.109,0.7128638,5.844876965,-,-,635.377686
