Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,546,565,546,546,0,7.765,2,12.87830006,0,0,68.082755
4-Jan-99,546,547,536,536,539932,7.882,2,12.68713524,0,0,66.835818
5-Jan-99,536,548,536,546,1681254,7.765,2,12.87830006,0,0,68.082755
6-Jan-99,553,621,553,620,8254865,6.824,1.7647,14.65416178,0,0,77.310088
7-Jan-99,620,663,612,621,8852081,6.824,1.7647,14.65416178,0,0,77.434782
8-Jan-99,621,662,620,657,3985553,6.471,1.6471,15.45356205,0,0,81.923755
11-Jan-99,657,671,650,655,4338540,6.471,1.6471,15.45356205,0,0,81.674368
12-Jan-99,655,672,642,642,2898829,6.588,1.6471,15.17911354,0,0,80.05335
13-Jan-99,621,621,583,594,5214653,7.059,1.8824,14.16631251,0,0,74.068053
14-Jan-99,594,625,579,582,5752965,7.294,1.8824,13.70989855,0,0,72.571729
15-Jan-99,565,565,544,553,9336507,7.647,2,13.07702367,0,0,68.955612
18-Jan-99,565,582,565,582,9131286,7.294,1.8824,13.70989855,0,0,72.571729
19-Jan-99,582,606,574,604,5460948,6.941,1.7647,14.40714594,0,0,75.31499
20-Jan-99,604,607,587,588,2593773,7.176,1.8824,13.93534002,0,0,73.319891
21-Jan-99,588,595,570,581,2931344,7.294,1.8824,13.70989855,0,0,72.447035
22-Jan-99,575,575,561,563,2888243,7.529,1.8824,13.28197636,0,0,70.202549
25-Jan-99,563,578,553,575,3147936,7.294,1.8824,13.70989855,0,0,71.698873
26-Jan-99,575,591,561,566,2422609,7.412,1.8824,13.49163519,0,0,70.57663
27-Jan-99,566,599,564,594,4465255,7.059,1.8824,14.16631251,0,0,74.068053
28-Jan-99,594,612,578,604,9182045,6.941,1.7647,14.40714594,0,0,75.31499
29-Jan-99,612,629,612,619,1276144,6.824,1.7647,14.65416178,0,0,77.185395
1-Feb-99,619,632,611,612,5138367,6.941,1.7647,14.40714594,0,0,76.312539
2-Feb-99,605,605,595,603,9376564,7.059,1.7647,14.16631251,0,0,75.190296
3-Feb-99,603,616,595,606,2832600,6.941,1.7647,14.40714594,0,0,75.564377
4-Feb-99,606,613,606,609,3273194,6.941,1.7647,14.40714594,0,0,75.938458
5-Feb-99,609,612,599,602,6143652,7.059,1.7647,14.16631251,0,0,75.065602
8-Feb-99,604,612,604,608,1733220,6.941,1.7647,14.40714594,0,0,75.813764
9-Feb-99,608,613,604,607,7646369,6.941,1.7647,14.40714594,0,0,75.68907
10-Feb-99,607,609,591,609,3004803,6.941,1.7647,14.40714594,0,0,75.938457
11-Feb-99,609,626,609,625,3159722,6.706,1.7647,14.91201909,0,0,77.933556
12-Feb-99,625,638,624,629,3553926,6.706,1.7647,14.91201909,0,0,78.432331
15-Feb-99,629,633,618,618,2141931,6.824,1.7647,14.65416178,0,0,77.0607
16-Feb-99,618,621,601,603,5502339,7.059,1.7647,14.16631251,0,0,75.190295
17-Feb-99,603,603,582,603,3978631,7.059,1.7647,14.16631251,0,0,75.190295
18-Feb-99,603,605,598,605,2017160,6.941,1.7647,14.40714594,0,0,75.439682
19-Feb-99,605,610,587,590,2617685,7.176,1.8824,13.93534002,0,0,73.569277
22-Feb-99,590,607,590,602,2030801,7.059,1.7647,14.16631251,0,0,75.065601
23-Feb-99,605,619,605,616,3361886,6.824,1.7647,14.65416178,0,0,76.811313
24-Feb-99,608,608,578,581,8500149,7.235,2.5882,13.82170007,0,0,72.447034
25-Feb-99,581,582,553,564,6783084,7.447,2.5882,13.42822613,0,0,70.327241
26-Feb-99,564,565,550,557,6725434,7.553,2.5882,13.23977228,0,0,69.454385
1-Mar-99,561,574,561,568,3252477,7.412,2.5882,13.49163519,0,0,70.826016
