Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,6860,6933.3333,6833.3333,6860,0,74.4,17.7,1.344086022,-,-,115
4-Jan-99,6820,6820,6780,6780,600,75.3,18,1.328021248,-,-,113
5-Jan-99,6780,6793.3333,6780,6780,14220,75.3,18,1.328021248,-,-,113
6-Jan-99,6800,7200,6800,7173.3333,69774,71.1,17.1,1.406469761,-,-,120
7-Jan-99,7400,8333.3333,7400,7400,51306,69,16.5,1.449275362,-,-,124
8-Jan-99,7433.3333,7500,7433.3333,7500,17466,68.1,16.2,1.468428781,-,-,125
11-Jan-99,7506.6666,7666.6666,7506.6666,7506.6666,17034,68.1,16.2,1.468428781,-,-,125
12-Jan-99,7506.6666,7666.6666,7506.6666,7613.3333,56046,67.2,15.9,1.488095238,-,-,127
13-Jan-99,7613.3333,7666.6666,7066.6666,7066.6666,82032,72.3,17.4,1.383125864,-,-,118
14-Jan-99,7100,7180,7100,7180,51276,71.1,17.1,1.406469761,-,-,120
15-Jan-99,7100,7100,6966.6666,7093.3333,56088,72,17.1,1.388888889,-,-,119
18-Jan-99,7206.6666,7266.6666,7206.6666,7253.3333,29541,70.5,16.8,1.418439716,-,-,121
19-Jan-99,7240,7240,7166.6666,7240,30612,70.5,16.8,1.418439716,-,-,121
20-Jan-99,7240,7240,7166.6666,7166.6666,69003,71.4,17.1,1.400560224,-,-,120
21-Jan-99,7166.6666,7166.6666,7100,7160,16914,71.4,17.1,1.400560224,-,-,120
22-Jan-99,7100,7100,7033.3333,7033.3333,29538,72.6,17.4,1.377410468,-,-,117
25-Jan-99,6966.6666,6966.6666,6840,6900,136230,74.1,17.7,1.349527665,-,-,115
26-Jan-99,6900,7000,6866.6666,6900,31911,74.1,17.7,1.349527665,-,-,115
27-Jan-99,6893.3333,6893.3333,6800,6893.3333,47109,74.1,17.7,1.349527665,-,-,115
28-Jan-99,6866.6666,6866.6666,6800,6833.3333,93900,74.7,18,1.338688086,-,-,114
29-Jan-99,6833.3333,6833.3333,6733.3333,6800,99615,75.3,18,1.328021248,-,-,114
1-Feb-99,6826.6666,6866.6666,6826.6666,6866.6666,100134,74.4,17.7,1.344086022,-,-,115
2-Feb-99,6860,6860,6833.3333,6853.3333,56763,74.7,17.7,1.338688086,-,-,114
3-Feb-99,6853.3333,6893.3333,6833.3333,6866.6666,145941,74.4,17.7,1.344086022,-,-,115
4-Feb-99,6933.3333,7146.6666,6933.3333,7086.6666,130002,72,17.1,1.388888889,-,-,118
5-Feb-99,7333.3333,8533.3333,7333.3333,8500,380430,60,14.4,1.666666667,-,-,142
8-Feb-99,8666.6666,9600,8666.6666,9366.6666,623478,54.6,12.9,1.831501832,-,-,157
9-Feb-99,9333.3333,9333.3333,8760,8900,316503,57.3,13.8,1.745200698,-,-,149
10-Feb-99,8833.3333,8833.3333,7900,8200,358059,62.4,15,1.602564103,-,-,137
11-Feb-99,8200,8333.3333,7333.3333,7446.6666,114879,68.7,16.5,1.455604076,-,-,124
12-Feb-99,7446.6666,7833.3333,7180,7400,106227,69,16.5,1.449275362,-,-,124
15-Feb-99,7400,7400,7200,7206.6666,79704,70.8,16.8,1.412429379,-,-,120
16-Feb-99,7140,7140,7100,7133.3333,79050,71.7,17.1,1.394700139,-,-,119
17-Feb-99,7120,7120,7040,7113.3333,35076,71.7,17.1,1.394700139,-,-,119
18-Feb-99,7113.3333,7120,7066.6666,7066.6666,9738,72.3,17.4,1.383125864,-,-,118
19-Feb-99,7066.6666,7233.3333,7066.6666,7066.6666,129507,72.3,17.4,1.383125864,-,-,118
22-Feb-99,7066.6666,7166.6666,7066.6666,7146.6666,42048,71.4,17.1,1.400560224,-,-,119
23-Feb-99,7193.3333,7240,7193.3333,7240,11703,70.5,16.8,1.418439716,-,-,121
24-Feb-99,7240,7500,7233.3333,7433.3333,48207,68.7,16.5,1.455604076,-,-,124
25-Feb-99,7433.3333,7633.3333,7400,7633.3333,102153,66.9,15.9,1.494768311,-,-,128
26-Feb-99,7633.3333,7666.6666,7466.6666,7500,73335,68.1,16.2,1.468428781,-,-,125
1-Mar-99,7493.3333,7493.3333,7466.6666,7493.3333,17094,68.1,16.2,1.468428781,-,-,125
2-Mar-99,7493.3333,7500,7480,7486.6666,39555,68.4,16.2,1.461988304,-,-,125
3-Mar-99,7486.6666,7506.6666,7473.3333,7493.3333,291321,68.1,16.2,1.468428781,-,-,125
4-Mar-99,7493.3333,7500,7480,7480,31599,68.4,16.2,1.461988304,-,-,125
5-Mar-99,7480,7500,7433.3333,7433.3333,38973,68.7,16.5,1.455604076,-,-,124
8-Mar-99,7466.6666,7586.6666,7466.6666,7586.6666,96882,67.5,16.2,1.481481481,-,-,127
9-Mar-99,7600,7633.3333,7600,7620,233550,67.2,15.9,1.488095238,-,-,127
10-Mar-99,7666.6666,7900,7666.6666,7900,42222,64.8,15.3,1.543209877,-,-,132
11-Mar-99,7900,8066.6666,7666.6666,7926.6666,135444,64.5,15.3,1.550387597,-,-,132
12-Mar-99,7900,7900,7800,7800,103374,32.1,17.4,3.115264798,-,-,130
15-Mar-99,7666.6666,7666.6666,7500,7500,32016,33.6,18,2.976190476,-,-,125
16-Mar-99,7500,7506.6666,7433.3333,7506.6666,108447,33.3,18,3.003003003,-,-,125
17-Mar-99,7506.6666,7533.3333,7400,7533.3333,46926,33.3,18,3.003003003,-,-,126
18-Mar-99,7533.3333,7600,7493.3333,7500,134934,33.6,18,2.976190476,-,-,125
19-Mar-99,7500,7600,7500,7600,422400,33,17.7,3.03030303,-,-,127
22-Mar-99,7600,7600,7500,7600,0,33,17.7,3.03030303,-,-,127
23-Mar-99,7600,7666.6666,7566.6666,7580,203433,33,18,3.03030303,-,-,127
24-Mar-99,7500,7500,7420,7433.3333,200418,33.9,18.3,2.949852507,-,-,124
25-Mar-99,7433.3333,7466.6666,7433.3333,7440,38094,33.6,18.3,2.976190476,-,-,124
26-Mar-99,7440,7466.6666,7433.3333,7433.3333,92628,33.9,18.3,2.949852507,-,-,124
29-Mar-99,7286.6666,7286.6666,7233.3333,7233.3333,46746,34.8,18.6,2.873563218,-,-,125
30-Mar-99,7233.3333,7266.6666,7166.6666,7200,199230,34.8,18.9,2.873563218,-,-,125
31-Mar-99,7200,7233.3333,6666.6666,7233.3333,227517,34.8,18.6,2.873563218,-,-,125
1-Apr-99,7233.3333,7233.3333,7166.6666,7233.3333,56124,34.8,18.6,2.873563218,-,-,125
2-Apr-99,7233.3333,7233.3333,7166.6666,7233.3333,0,34.8,18.6,2.873563218,-,-,125
5-Apr-99,7233.3333,7233.3333,7166.6666,7233.3333,0,34.8,18.6,2.873563218,-,-,125
6-Apr-99,7233.3333,7266.6666,7233.3333,7260,81048,34.5,18.6,2.898550725,-,-,126
7-Apr-99,7260,7266.6666,7260,7266.6666,206085,34.5,18.6,2.898550725,-,-,126
8-Apr-99,7266.6666,7266.6666,6986.6666,7000,235074,36,19.5,2.777777778,-,-,121
9-Apr-99,7000,7200,6946.6666,7200,277041,34.8,18.9,2.873563218,-,-,125
12-Apr-99,7200,7200,7133.3333,7133.3333,79296,35.1,18.9,2.849002849,-,-,124
13-Apr-99,7166.6666,7266.6666,7166.6666,7266.6666,81246,34.5,18.6,2.898550725,-,-,126
14-Apr-99,7266.6666,7466.6666,7266.6666,7466.6666,19605,33.6,18,2.976190476,-,-,129
15-Apr-99,7500,7666.6666,7500,7666.6666,94821,32.7,17.7,3.058103976,-,-,133
16-Apr-99,7666.6666,7833.3333,7566.6666,7566.6666,144342,33.3,18,3.003003003,-,-,131
19-Apr-99,7600,7620,7600,7600,45051,33,17.7,3.03030303,-,-,132
20-Apr-99,7600,7613.3333,7500,7613.3333,69033,33,17.7,3.03030303,-,-,132
21-Apr-99,7533.3333,7533.3333,7466.6666,7466.6666,74661,33.6,18,2.976190476,-,-,129
22-Apr-99,7466.6666,7466.6666,7300,7300,70746,34.5,18.6,2.898550725,-,-,126
23-Apr-99,7300,7333.3333,7266.6666,7333.3333,41562,34.2,18.6,2.923976608,-,-,127
26-Apr-99,7333.3333,7333.3333,7313.3333,7333.3333,28449,34.2,18.6,2.923976608,-,-,127
27-Apr-99,7333.3333,7333.3333,7313.3333,7333.3333,0,34.2,18.6,2.923976608,-,-,127
28-Apr-99,7333.3333,7400,7333.3333,7400,79380,33.9,18.3,2.949852507,-,-,128
29-Apr-99,7500,7666.6666,7500,7666.6666,52812,32.7,17.7,3.058103976,-,-,133
30-Apr-99,7766.6666,7833.3333,7766.6666,7800,64416,32.1,17.4,3.115264798,-,-,135
3-May-99,7733.3333,7733.3333,7600,7600,20127,33,17.7,3.03030303,-,-,132
4-May-99,7600,7666.6666,7566.6666,7666.6666,45084,32.7,17.7,3.058103976,-,-,133
5-May-99,7666.6666,7766.6666,7633.3333,7746.6666,86175,32.4,17.4,3.086419753,-,-,134
6-May-99,7800,7933.3333,7800,7933.3333,167379,31.5,17.1,3.174603175,-,-,138
7-May-99,7933.3333,8260,7840,8233.3333,400851,30.6,16.5,3.267973856,-,-,143
10-May-99,8266.6666,8733.3333,8266.6666,8566.6666,391782,29.4,15.9,3.401360544,-,-,149
11-May-99,8600,8733.3333,8600,8666.6666,163647,29.1,15.6,3.436426117,-,-,150
12-May-99,8666.6666,8666.6666,7866.6666,7900,112854,31.8,17.1,3.144654088,-,-,137
13-May-99,7900,7900,7500,7513.3333,100533,33.3,18,3.003003003,-,-,130
14-May-99,7513.3333,7620,7333.3333,7400,55653,33.9,18.3,2.949852507,-,-,128
17-May-99,7206.6666,7206.6666,7200,7200,20640,34.8,18.9,2.873563218,-,-,125
18-May-99,7100,7100,6900,6933.3333,54447,36.3,19.5,2.754820937,-,-,120
19-May-99,6933.3333,7200,6800,7166.6666,212946,35.1,18.9,2.849002849,-,-,124
20-May-99,7200,7400,7200,7366.6666,74685,34.2,18.3,2.923976608,-,-,128
21-May-99,7433.3333,7600,7433.3333,7500,50391,33.6,18,2.976190476,-,-,130
24-May-99,7600,7700,7600,7700,89496,32.7,17.7,3.058103976,-,-,133
25-May-99,7633.3333,7633.3333,7600,7600,102525,33,17.7,3.03030303,-,-,132
26-May-99,7600,7633.3333,7566.6666,7633.3333,116718,33,17.7,3.03030303,-,-,132
27-May-99,7633.3333,7633.3333,7600,7633.3333,42477,33,17.7,3.03030303,-,-,132
28-May-99,7586.6666,7586.6666,7500,7500,99861,33.6,18,2.976190476,-,-,130
31-May-99,7560,7580,7560,7566.6666,120921,33.3,18,3.003003003,-,-,131
1-Jun-99,7586.6666,7633.3333,7586.6666,7633.3333,181239,33,17.7,3.03030303,-,-,132
2-Jun-99,7633.3333,7633.3333,7586.6666,7633.3333,0,33,17.7,3.03030303,-,-,132
3-Jun-99,7666.6666,7833.3333,7666.6666,7766.6666,231732,32.4,17.4,3.086419753,-,-,135
4-Jun-99,7766.6666,7833.3333,7766.6666,7800,120942,32.1,17.4,3.115264798,-,-,135
7-Jun-99,7833.3333,8166.6666,7833.3333,8100,105009,30.9,16.8,3.236245955,-,-,140
8-Jun-99,8100,8186.6666,8100,8186.6666,52473,30.6,16.5,3.267973856,-,-,142
9-Jun-99,8186.6666,8300,8186.6666,8300,15453,30.3,16.2,3.300330033,-,-,144
10-Jun-99,8266.6666,8266.6666,8106.6666,8166.6666,65868,30.6,16.5,3.267973856,-,-,142
11-Jun-99,8166.6666,8366.6666,8166.6666,8366.6666,58542,30,16.2,3.333333333,-,-,145
14-Jun-99,8366.6666,8400,8200,8266.6666,84693,30.3,16.5,3.300330033,-,-,143
15-Jun-99,8266.6666,8266.6666,8166.6666,8166.6666,167196,30.6,16.5,3.267973856,-,-,142
16-Jun-99,8166.6666,8266.6666,8166.6666,8166.6666,0,30.6,16.5,3.267973856,-,-,142
17-Jun-99,8166.6666,8226.6666,8000,8000,187545,31.5,16.8,3.174603175,-,-,139
18-Jun-99,8066.6666,8266.6666,8066.6666,8266.6666,74391,30.3,16.5,3.300330033,-,-,143
21-Jun-99,8333.3333,8406.6666,8333.3333,8400,139560,30,16.2,3.333333333,-,-,146
22-Jun-99,8400,8566.6666,8366.6666,8386.6666,151029,30,16.2,3.333333333,-,-,145
23-Jun-99,8386.6666,8566.6666,8266.6666,8466.6666,127962,29.7,15.9,3.367003367,-,-,147
24-Jun-99,6400,6400,6166.6666,6373.3333,225951,29.4,15.9,3.401360544,-,-,110
25-Jun-99,6300,6300,6273.3333,6300,344814,30,16.2,3.333333333,-,-,109
28-Jun-99,6300,6466.6666,6300,6466.6666,59247,29.1,15.6,3.436426117,-,-,112
29-Jun-99,6466.6666,6566.6666,6333.3333,6333.3333,63546,29.7,15.9,3.367003367,-,-,110
30-Jun-99,6333.3333,6633.3333,6333.3333,6633.3333,206460,-20.169,15.3,-4.958104021,-,-,115
1-Jul-99,6633.3333,6833.3333,6633.3333,6833.3333,119643,-19.578,15,-5.107774032,-,-,118
2-Jul-99,6866.6666,7000,6866.6666,7000,14481,-19.113,14.4,-5.232041019,-,-,121
5-Jul-99,7000,7100,7000,7100,12204,-18.843,14.4,-5.307010561,-,-,123
6-Jul-99,7100,7100,7066.6666,7093.3333,98814,-18.861,14.4,-5.301945814,-,-,123
7-Jul-99,7093.3333,7100,7000,7100,273780,-18.843,14.4,-5.307010561,-,-,123
8-Jul-99,7100,7300,7100,7200,93201,-18.582,14.1,-5.38155204,-,-,125
9-Jul-99,7166.6666,7166.6666,7000,7000,28623,-19.113,14.4,-5.232041019,-,-,121
12-Jul-99,7000,7040,7000,7033.3333,162855,-19.02,14.4,-5.257623554,-,-,122
13-Jul-99,7033.3333,7033.3333,6966.6666,6966.6666,63522,-19.203,14.7,-5.207519658,-,-,121
14-Jul-99,6966.6666,6966.6666,6866.6666,6933.3333,71178,-19.296,14.7,-5.182421227,-,-,120
15-Jul-99,6900,6900,6900,6900,40386,-19.389,14.7,-5.157563567,-,-,120
16-Jul-99,6833.3333,6833.3333,6800,6800,70881,-19.674,15,-5.082850463,-,-,118
19-Jul-99,6800,6820,6733.3333,6766.6666,22578,-19.77,15,-5.058168943,-,-,117
20-Jul-99,6666.6666,6666.6666,6600,6600,69534,-20.271,15.3,-4.93315574,-,-,114
21-Jul-99,6433.3333,6433.3333,6366.6666,6366.6666,13527,-21.012,15.9,-4.759185227,-,-,110
22-Jul-99,6380,6526.6666,6380,6433.3333,1133868,-20.796,15.9,-4.808617042,-,-,111
23-Jul-99,6366.6666,6366.6666,6266.6666,6266.6666,152160,-21.348,16.2,-4.684279558,-,-,109
26-Jul-99,6200,6200,6046.6666,6100,24102,-21.933,16.8,-4.559339808,-,-,106
27-Jul-99,6100,6200,6033.3333,6200,13545,-21.579,16.5,-4.634135039,-,-,107
