Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,10020,10400,10000,10020,0,7.9,0.8,12.65822785,-,-,387
4-Jan-99,10020,10200,9970,10200,105704,7.8,0.8,12.82051282,-,-,394
5-Jan-99,10300,10620,10300,10620,200164,7.5,0.8,13.33333333,-,-,410
6-Jan-99,10800,11800,10800,11660,510807,6.8,0.7,14.70588235,-,-,450
7-Jan-99,11700,12080,11700,11720,557527,6.8,0.7,14.70588235,-,-,452
8-Jan-99,11780,12100,11780,12100,400757,6.5,0.7,15.38461538,-,-,467
11-Jan-99,12100,12140,11900,11920,126769,6.6,0.7,15.15151515,-,-,460
12-Jan-99,11920,12100,11820,11860,175923,6.7,0.7,14.92537313,-,-,458
13-Jan-99,11740,11740,10900,11280,482561,7,0.7,14.28571429,-,-,435
14-Jan-99,11280,11600,10680,11000,368707,7.2,0.7,13.88888889,-,-,424
15-Jan-99,10800,10800,10500,10740,228488,7.4,0.7,13.51351351,-,-,414
18-Jan-99,10880,11100,10880,11060,222567,7.2,0.7,13.88888889,-,-,427
19-Jan-99,11060,11360,10900,11360,91954,7,0.7,14.28571429,-,-,438
20-Jan-99,11360,11360,11300,11300,52826,7,0.7,14.28571429,-,-,436
21-Jan-99,11300,11400,11200,11240,241670,7,0.7,14.28571429,-,-,434
22-Jan-99,11080,11080,10900,11040,279411,7.2,0.7,13.88888889,-,-,426
25-Jan-99,11040,11140,10800,11100,78720,7.1,0.7,14.08450704,-,-,428
26-Jan-99,11100,11260,11100,11180,150016,7.1,0.7,14.08450704,-,-,431
27-Jan-99,11180,11800,11180,11800,215782,6.7,0.7,14.92537313,-,-,455
28-Jan-99,11800,12400,11700,12320,345703,6.4,0.6,15.625,-,-,475
29-Jan-99,12320,12520,12220,12240,354511,6.5,0.7,15.38461538,-,-,472
1-Feb-99,12300,12460,12300,12300,289412,6.4,0.7,15.625,-,-,475
2-Feb-99,12300,12420,12200,12400,303914,6.4,0.6,15.625,-,-,479
3-Feb-99,12400,12540,12300,12520,395817,6.3,0.6,15.87301587,-,-,483
4-Feb-99,12600,12780,12600,12740,254931,6.2,0.6,16.12903226,-,-,492
5-Feb-99,12740,12940,12660,12900,202582,6.1,0.6,16.39344262,-,-,498
8-Feb-99,12900,13000,12800,12920,172925,6.1,0.6,16.39344262,-,-,499
9-Feb-99,12920,13000,12800,12860,198964,6.2,0.6,16.12903226,-,-,496
10-Feb-99,12820,12820,12600,12800,173642,6.2,0.6,16.12903226,-,-,494
11-Feb-99,12800,13100,12800,13080,217191,6.1,0.6,16.39344262,-,-,505
12-Feb-99,13080,13440,12600,12800,179010,6.2,0.6,16.12903226,-,-,494
15-Feb-99,12800,12800,12300,12380,255551,6.4,0.6,15.625,-,-,478
16-Feb-99,12380,12480,12240,12320,275277,6.4,0.6,15.625,-,-,475
17-Feb-99,12320,12480,12120,12420,111615,6.4,0.6,15.625,-,-,479
18-Feb-99,12420,12480,12300,12380,183389,6.4,0.6,15.625,-,-,478
19-Feb-99,12380,12520,12340,12340,154236,6.4,0.6,15.625,-,-,476
22-Feb-99,12340,12540,12300,12540,51211,6.3,0.6,15.87301587,-,-,484
23-Feb-99,12660,12900,12660,12800,214422,6.2,0.6,16.12903226,-,-,494
24-Feb-99,12800,12880,12660,12860,220956,6.2,0.6,16.12903226,-,-,496
25-Feb-99,12860,12980,12600,12600,232159,6.3,0.6,15.87301587,-,-,486
26-Feb-99,12600,12600,12280,12540,1482194,5.2,2,19.23076923,-,-,484
1-Mar-99,12540,12700,12400,12580,158239,5.2,2,19.23076923,-,-,486
2-Mar-99,12580,12760,12500,12600,211852,5.2,2,19.23076923,-,-,486
3-Mar-99,12680,13100,12680,13020,160856,5.1,1.9,19.60784314,-,-,503
4-Mar-99,13020,13560,13000,13560,175071,4.8,1.8,20.83333333,-,-,523
5-Mar-99,13700,14200,13700,14160,331944,4.6,1.7,21.73913043,-,-,547
8-Mar-99,14160,14400,14100,14320,115771,4.6,1.7,21.73913043,-,-,553
9-Mar-99,14320,14500,14300,14420,80005,4.6,1.7,21.73913043,-,-,557
10-Mar-99,14420,14560,14400,14500,164681,4.5,1.7,22.22222222,-,-,560
11-Mar-99,14500,14700,14400,14500,210840,4.5,1.7,22.22222222,-,-,560
12-Mar-99,14500,14500,14300,14480,105079,4.5,1.7,22.22222222,-,-,559
15-Mar-99,14200,14200,13920,13940,151151,4.7,1.8,21.27659574,-,-,547
16-Mar-99,13940,14200,13920,13920,236569,4.7,1.8,21.27659574,-,-,546
17-Mar-99,13920,13920,13640,13780,153879,4.8,1.8,20.83333333,-,-,541
18-Mar-99,13780,13800,13540,13660,304674,4.8,1.8,20.83333333,-,-,536
19-Mar-99,13660,13920,13640,13660,207424,4.8,1.8,20.83333333,-,-,536
22-Mar-99,13660,13920,13640,13660,0,4.8,1.8,20.83333333,-,-,536
23-Mar-99,13660,13880,13500,13840,273586,4.8,1.8,20.83333333,-,-,543
24-Mar-99,13840,14200,13400,14040,299811,4.7,1.8,21.27659574,-,-,551
25-Mar-99,14040,14660,13980,14660,288541,4.5,1.7,22.22222222,-,-,575
26-Mar-99,14640,14640,13900,14100,123254,4.7,1.7,21.27659574,-,-,553
29-Mar-99,14080,14080,13500,13740,243441,4.8,1.8,20.83333333,-,-,539
30-Mar-99,13740,13840,13560,13700,184830,6,1.8,16.66666667,-,-,537
31-Mar-99,13700,13760,13560,13760,445084,6,1.8,16.66666667,-,-,540
1-Apr-99,13720,13720,13600,13680,149181,6,1.8,16.66666667,-,-,537
2-Apr-99,13680,13720,13600,13680,0,6,1.8,16.66666667,-,-,537
5-Apr-99,13680,13720,13600,13680,0,6,1.8,16.66666667,-,-,537
6-Apr-99,13680,13800,13500,13520,163411,6.1,1.8,16.39344262,-,-,530
7-Apr-99,13520,13600,12900,12940,225144,6.4,1.9,15.625,-,-,508
8-Apr-99,12940,13000,12500,12520,287333,6.6,2,15.15151515,-,-,491
9-Apr-99,12520,12900,12500,12700,240330,6.5,1.9,15.38461538,-,-,498
12-Apr-99,12700,13000,12700,12940,138666,6.4,1.9,15.625,-,-,508
