Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,93,97,91,93,0,14.4,1.1,6.944444444,-,-,73
4-Jan-99,93,95,90,91,253844,14.7,1.1,6.802721088,-,-,71
5-Jan-99,91,100,91,93,539893,14.4,1.1,6.944444444,-,-,73
6-Jan-99,93,97,92,93,421166,14.4,1.1,6.944444444,-,-,73
7-Jan-99,93,93,92,92,865619,14.6,1.1,6.849315068,-,-,72
8-Jan-99,93,95,93,94,430324,14.3,1.1,6.993006993,-,-,73
11-Jan-99,95,107,95,104,2361084,12.9,1,7.751937984,-,-,81
12-Jan-99,103,103,99,100,875491,13.4,1,7.462686567,-,-,78
13-Jan-99,100,100,93,93,427021,14.4,1.1,6.944444444,-,-,73
14-Jan-99,93,94,88,89,954432,15.1,1.1,6.622516556,-,-,69
15-Jan-99,88,88,80,85,276636,15.8,1.2,6.329113924,-,-,66
18-Jan-99,85,90,82,82,303170,16.3,1.2,6.134969325,-,-,64
19-Jan-99,82,85,82,82,618526,16.3,1.2,6.134969325,-,-,64
20-Jan-99,83,91,83,85,2145793,15.8,1.2,6.329113924,-,-,66
21-Jan-99,88,90,88,90,810513,14.9,1.1,6.711409396,-,-,70
22-Jan-99,89,89,86,86,3170807,15.6,1.2,6.41025641,-,-,67
25-Jan-99,86,86,84,84,871546,16,1.2,6.25,-,-,67
26-Jan-99,85,89,85,85,382818,15.8,1.2,6.329113924,-,-,68
27-Jan-99,85,92,85,92,5803588,14.6,1.1,6.849315068,-,-,74
28-Jan-99,93,97,93,94,426340,14.3,1.1,6.993006993,-,-,76
29-Jan-99,94,94,89,90,432301,14.9,1.1,6.711409396,-,-,72
1-Feb-99,91,94,91,93,1105052,14.4,1.1,6.944444444,-,-,75
2-Feb-99,93,94,91,94,453268,14.3,1.1,6.993006993,-,-,76
3-Feb-99,92,92,90,90,239739,14.9,1.1,6.711409396,-,-,72
4-Feb-99,89,89,84,85,454842,15.8,1.2,6.329113924,-,-,68
5-Feb-99,85,88,83,84,237479,16,1.2,6.25,-,-,67
8-Feb-99,85,90,85,88,143941,15.2,1.1,6.578947368,-,-,71
9-Feb-99,88,89,85,85,345772,15.8,1.2,6.329113924,-,-,68
10-Feb-99,85,94,84,94,1827035,14.3,1.1,6.993006993,-,-,76
11-Feb-99,94,97,90,90,232713,14.9,1.1,6.711409396,-,-,72
12-Feb-99,90,93,90,91,498647,14.7,1.1,6.802721088,-,-,73
15-Feb-99,91,92,89,92,2094466,14.6,1.1,6.849315068,-,-,74
16-Feb-99,92,92,91,91,528446,14.7,1.1,6.802721088,-,-,73
17-Feb-99,91,91,88,89,334234,15.1,1.1,6.622516556,-,-,72
18-Feb-99,89,94,87,94,953776,14.3,1.1,6.993006993,-,-,76
19-Feb-99,94,94,90,91,371318,14.7,1.1,6.802721088,-,-,73
22-Feb-99,91,93,90,93,171108,14.4,1.1,6.944444444,-,-,75
23-Feb-99,93,97,93,97,697535,13.8,1,7.246376812,-,-,78
24-Feb-99,97,97,95,96,3293903,14,1,7.142857143,-,-,77
25-Feb-99,96,97,94,95,5584304,14.1,1.1,7.092198582,-,-,76
26-Feb-99,95,95,92,92,1721409,14.6,1.1,6.849315068,-,-,74
1-Mar-99,92,94,92,94,143428,14.3,1.1,6.993006993,-,-,76
2-Mar-99,96,99,96,99,784087,13.5,1,7.407407407,-,-,80
3-Mar-99,99,105,99,103,1349642,13,1,7.692307692,-,-,83
4-Mar-99,103,103,100,100,14265220,13.4,1,7.462686567,-,-,80
5-Mar-99,100,105,100,100,819357,13.4,1,7.462686567,-,-,80
8-Mar-99,103,106,103,106,492057,12.6,0.9,7.936507937,-,-,85
9-Mar-99,106,107,105,105,429178,12.8,1,7.8125,-,-,84
10-Mar-99,105,106,98,102,3523707,13.1,1,7.633587786,-,-,82
11-Mar-99,102,103,100,101,612471,13.3,1,7.518796992,-,-,81
12-Mar-99,101,103,100,103,287155,13,1,7.692307692,-,-,83
15-Mar-99,103,113,101,113,6854021,11.9,0.9,8.403361345,-,-,91
16-Mar-99,113,125,110,118,4825240,11.4,0.8,8.771929825,-,-,95
17-Mar-99,118,122,116,122,5048635,11,0.8,9.090909091,-,-,98
18-Mar-99,122,124,120,120,688083,11.2,0.8,8.928571429,-,-,97
19-Mar-99,120,120,116,120,576537,11.2,0.8,8.928571429,-,-,97
22-Mar-99,120,120,116,120,0,11.2,0.8,8.928571429,-,-,97
23-Mar-99,120,120,115,120,37029672,11.2,0.8,8.928571429,-,-,97
24-Mar-99,120,125,115,122,1604153,11,0.8,9.090909091,-,-,98
25-Mar-99,122,126,122,126,2908268,10.6,0.8,9.433962264,-,-,101
26-Mar-99,126,126,125,125,2659063,10.7,0.8,9.345794393,-,-,101
29-Mar-99,125,126,125,126,688767,10.6,0.8,9.433962264,-,-,101
30-Mar-99,126,128,122,122,255028,11,0.8,9.090909091,-,-,98
31-Mar-99,122,122,117,120,466982,11.2,0.8,8.928571429,-,-,97
1-Apr-99,120,122,119,122,207678,11,0.8,9.090909091,-,-,98
2-Apr-99,122,122,119,122,0,11,0.8,9.090909091,-,-,98
5-Apr-99,122,122,119,122,0,11,0.8,9.090909091,-,-,98
6-Apr-99,122,122,115,118,20205207,11.4,0.8,8.771929825,-,-,95
7-Apr-99,118,118,115,117,8683987,11.5,0.9,8.695652174,-,-,94
8-Apr-99,117,119,116,118,727725,11.4,0.8,8.771929825,-,-,95
9-Apr-99,118,120,118,119,5460740,11.3,0.8,8.849557522,-,-,96
12-Apr-99,119,120,117,117,3451335,11.5,0.9,8.695652174,-,-,94
13-Apr-99,117,120,114,117,279914,11.5,0.9,8.695652174,-,-,94
14-Apr-99,117,117,115,115,84928,11.7,0.9,8.547008547,-,-,93
15-Apr-99,115,118,115,118,257315,11.4,0.8,8.771929825,-,-,95
16-Apr-99,118,124,118,124,705973,10.8,0.8,9.259259259,-,-,100
19-Apr-99,124,127,124,124,7218920,10.8,0.8,9.259259259,-,-,100
20-Apr-99,124,124,115,120,422379,11.2,0.8,8.928571429,-,-,97
21-Apr-99,120,120,119,120,68412,11.2,0.8,8.928571429,-,-,97
22-Apr-99,120,120,116,120,451707,11.2,0.8,8.928571429,-,-,97
23-Apr-99,119,119,117,117,264448,11.5,0.9,8.695652174,-,-,94
26-Apr-99,117,117,114,117,261945,11.5,0.9,8.695652174,-,-,94
27-Apr-99,117,117,114,117,0,11.5,0.9,8.695652174,-,-,94
28-Apr-99,114,114,101,114,1089969,11.8,0.9,8.474576271,-,-,92
29-Apr-99,114,116,110,115,245304,11.7,0.9,8.547008547,-,-,93
30-Apr-99,115,116,114,114,1136023,11.8,0.9,8.474576271,-,-,92
3-May-99,114,118,112,115,757425,11.7,0.9,8.547008547,-,-,93
4-May-99,115,115,113,113,882501,11.9,0.9,8.403361345,-,-,91
5-May-99,111,111,107,109,202951,12.3,0.9,8.130081301,-,-,88
6-May-99,109,109,107,107,1840547,12.5,0.9,8,-,-,86
7-May-99,107,108,103,108,450750,12.4,0.9,8.064516129,-,-,87
10-May-99,107,107,102,102,11649771,13.1,1,7.633587786,-,-,82
11-May-99,102,104,100,102,2357364,13.1,1,7.633587786,-,-,82
12-May-99,100,100,97,98,458901,13.7,1,7.299270073,-,-,79
13-May-99,98,98,90,94,1648664,14.3,1.1,6.993006993,-,-,76
14-May-99,94,94,91,91,2561127,14.7,1.1,6.802721088,-,-,73
17-May-99,90,90,86,90,319665,14.9,1.1,6.711409396,-,-,72
18-May-99,90,90,88,90,1230731,14.9,1.1,6.711409396,-,-,72
19-May-99,90,92,89,90,308944,14.9,1.1,6.711409396,-,-,72
20-May-99,90,90,90,90,552131,14.9,1.1,6.711409396,-,-,72
21-May-99,90,95,88,90,277920,14.9,1.1,6.711409396,-,-,72
24-May-99,90,90,90,90,181781,14.9,1.1,6.711409396,-,-,72
25-May-99,90,90,89,90,943474,14.9,1.1,6.711409396,-,-,72
26-May-99,90,90,89,89,112446,15.1,1.1,6.622516556,-,-,72
27-May-99,89,89,88,89,77620,15.1,1.1,6.622516556,-,-,72
28-May-99,89,90,87,90,617147,14.9,1.1,6.711409396,-,-,72
31-May-99,87,87,86,87,98977,15.4,1.1,6.493506494,-,-,70
1-Jun-99,87,90,87,90,565189,14.9,1.1,6.711409396,-,-,72
2-Jun-99,90,90,87,90,0,14.9,1.1,6.711409396,-,-,72
3-Jun-99,90,93,86,86,783928,15.6,1.2,6.41025641,-,-,69
4-Jun-99,86,86,85,86,3634703,15.6,1.2,6.41025641,-,-,69
7-Jun-99,86,91,86,90,1418489,14.9,1.1,6.711409396,-,-,72
8-Jun-99,89,89,86,89,164894,15.1,1.1,6.622516556,-,-,72
9-Jun-99,85,85,82,85,315693,15.8,1.2,6.329113924,-,-,68
10-Jun-99,85,87,76,85,1578402,15.8,1.2,6.329113924,-,-,68
11-Jun-99,85,86,83,84,2064684,16,1.2,6.25,-,-,67
14-Jun-99,84,86,82,84,185381,16,1.2,6.25,-,-,67
15-Jun-99,85,89,85,89,14197202,15.1,1.1,6.622516556,-,-,72
16-Jun-99,89,89,85,89,0,15.1,1.1,6.622516556,-,-,72
17-Jun-99,89,96,89,95,4393149,14.1,1.1,7.092198582,-,-,76
18-Jun-99,95,97,94,94,2656450,14.3,1.1,6.993006993,-,-,76
21-Jun-99,95,102,95,101,2668817,13.3,1,7.518796992,-,-,81
22-Jun-99,101,103,98,100,1585732,13.4,1,7.462686567,-,-,80
23-Jun-99,98,98,93,95,278413,14.1,1.1,7.092198582,-,-,76
24-Jun-99,95,97,93,97,835536,13.8,1,7.246376812,-,-,78
25-Jun-99,95,95,87,88,2900996,15.6,0,6.41025641,-,-,71
28-Jun-99,88,95,88,92,4152545,14.9,0,6.711409396,-,-,74
29-Jun-99,93,96,93,95,2536361,14.5,0,6.896551724,-,-,76
30-Jun-99,95,97,95,96,1266329,14.3,0,6.993006993,-,-,77
1-Jul-99,96,96,95,95,345970,14.5,0,6.896551724,-,-,76
2-Jul-99,95,95,93,93,769683,14.8,0,6.756756757,-,-,75
5-Jul-99,93,95,91,95,2779651,14.5,0,6.896551724,-,-,76
6-Jul-99,95,95,93,95,171310,14.5,0,6.896551724,-,-,76
7-Jul-99,95,96,93,93,703850,14.8,0,6.756756757,-,-,75
8-Jul-99,95,97,95,96,1705249,14.3,0,6.993006993,-,-,77
9-Jul-99,96,96,92,95,5613692,14.5,0,6.896551724,-,-,76
12-Jul-99,95,95,92,94,1059015,14.6,0,6.849315068,-,-,76
13-Jul-99,93,93,91,91,1336679,15.1,0,6.622516556,-,-,73
14-Jul-99,91,91,90,91,852489,15.1,0,6.622516556,-,-,73
15-Jul-99,91,94,90,91,721231,15.1,0,6.622516556,-,-,73
16-Jul-99,91,93,90,90,1114125,15.3,0,6.535947712,-,-,72
19-Jul-99,90,93,90,93,1992508,14.8,0,6.756756757,-,-,75
