Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,570,575,570,570,0,6.8,4.1,14.70588235,-,-,157
4-Jan-99,570,570,570,570,1500,6.8,4.1,14.70588235,-,-,157
5-Jan-99,570,575,570,575,89639,6.7,4,14.92537313,-,-,159
6-Jan-99,595,600,595,600,107220,6.4,3.8,15.625,-,-,166
7-Jan-99,620,640,620,620,206270,6.2,3.7,16.12903226,-,-,171
8-Jan-99,620,620,600,600,2257,6.4,3.8,15.625,-,-,166
11-Jan-99,600,605,590,605,6043,6.4,3.8,15.625,-,-,167
12-Jan-99,605,615,600,615,478700,6.3,3.8,15.87301587,-,-,170
13-Jan-99,610,610,585,601,311480,6.4,3.8,15.625,-,-,166
14-Jan-99,605,610,605,605,14900,6.4,3.8,15.625,-,-,167
15-Jan-99,600,600,595,599,10900,6.4,3.9,15.625,-,-,166
18-Jan-99,600,630,600,620,151495,6.2,3.7,16.12903226,-,-,171
19-Jan-99,620,631,620,631,47817,6.1,3.7,16.39344262,-,-,174
20-Jan-99,631,640,630,630,455701,6.1,3.7,16.39344262,-,-,174
21-Jan-99,630,640,630,630,116700,6.1,3.7,16.39344262,-,-,174
22-Jan-99,620,620,620,620,27900,6.2,3.7,16.12903226,-,-,171
25-Jan-99,620,625,610,625,119400,6.2,3.7,16.12903226,-,-,173
26-Jan-99,625,630,625,630,157200,6.1,3.7,16.39344262,-,-,174
27-Jan-99,630,650,630,650,606111,5.9,3.6,16.94915254,-,-,180
28-Jan-99,650,660,650,660,5800,5.8,3.5,17.24137931,-,-,182
29-Jan-99,665,700,665,680,618767,5.7,3.4,17.54385965,-,-,188
1-Feb-99,680,690,680,690,10840,5.6,3.3,17.85714286,-,-,191
2-Feb-99,690,690,670,670,706000,5.8,3.4,17.24137931,-,-,185
3-Feb-99,660,660,650,660,478116,5.8,3.5,17.24137931,-,-,182
4-Feb-99,660,691,660,691,229081,5.6,3.3,17.85714286,-,-,191
5-Feb-99,690,690,675,675,977105,5.7,3.4,17.54385965,-,-,187
8-Feb-99,675,700,675,700,98100,5.5,3.3,18.18181818,-,-,194
9-Feb-99,700,720,700,720,434500,5.4,3.2,18.51851852,-,-,199
10-Feb-99,720,720,710,720,101740,5.4,3.2,18.51851852,-,-,199
11-Feb-99,720,730,720,730,7456,5.3,3.2,18.86792453,-,-,202
12-Feb-99,730,740,730,740,166100,5.2,3.1,19.23076923,-,-,205
15-Feb-99,740,770,736,755,132900,5.1,3.1,19.60784314,-,-,209
16-Feb-99,760,780,760,780,370198,4.9,3,20.40816327,-,-,216
17-Feb-99,775,775,750,775,346920,5,3,20,-,-,214
