Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,820,820,790,820,0,12.9,5.2,7.751937984,0,0,596.493392
4-Jan-99,810,810,799,800,71078,13.2,5.4,7.575757576,0,0,581.944773
5-Jan-99,800,805,800,800,192045,13.2,5.4,7.575757576,0,0,581.944773
6-Jan-99,800,810,800,805,133226,13.1,5.3,7.633587786,0,0,585.581928
7-Jan-99,805,815,795,800,119676,13.2,5.4,7.575757576,0,0,581.944773
8-Jan-99,800,805,750,750,113221,14.1,5.7,7.092198582,0,0,545.573225
11-Jan-99,753,755,753,755,11445,14,5.7,7.142857143,0,0,549.21038
12-Jan-99,755,756,755,756,108598,14,5.7,7.142857143,0,0,549.937811
13-Jan-99,756,756,750,756,517400,14,5.7,7.142857143,0,0,549.937811
14-Jan-99,760,789,760,785,133552,13.5,5.5,7.407407407,0,0,571.033309
15-Jan-99,785,785,760,771,1202218,13.7,5.6,7.299270073,0,0,560.849275
18-Jan-99,771,780,770,772,214004,13.7,5.6,7.299270073,0,0,561.576706
19-Jan-99,772,780,760,770,388188,13.7,5.6,7.299270073,0,0,560.121844
20-Jan-99,770,775,765,765,112390,13.8,5.6,7.246376812,0,0,556.484689
21-Jan-99,765,765,750,755,98661,14,5.7,7.142857143,0,0,549.210379
22-Jan-99,755,760,730,731,61403,14.4,5.9,6.944444444,0,0,531.752036
25-Jan-99,731,740,731,740,2290168,14.3,5.8,6.993006993,0,0,538.298915
26-Jan-99,740,750,740,750,18508,14.1,5.7,7.092198582,0,0,545.573225
27-Jan-99,750,755,750,755,9396,14,5.7,7.142857143,0,0,549.21038
28-Jan-99,760,760,760,760,11306,13.9,5.7,7.194244604,0,0,552.847535
29-Jan-99,760,765,760,760,71873,13.9,5.7,7.194244604,0,0,552.847535
1-Feb-99,760,760,750,750,1022229,14.1,5.7,7.092198582,0,0,545.573225
2-Feb-99,750,750,735,745,169606,14.2,5.8,7.042253521,0,0,541.93607
3-Feb-99,730,730,730,730,9380,14.5,5.9,6.896551724,0,0,531.024606
4-Feb-99,725,725,710,710,12112,14.9,6.1,6.711409396,0,0,516.475987
5-Feb-99,685,685,680,680,96397,15.5,6.3,6.451612903,0,0,494.653058
8-Feb-99,690,710,690,700,87985,15.1,6.1,6.622516556,0,0,509.201677
9-Feb-99,700,710,692,700,126772,15.1,6.1,6.622516556,0,0,509.201677
10-Feb-99,696,696,670,680,31000,15.5,6.3,6.451612903,0,0,494.653058
11-Feb-99,675,675,670,670,46547,15.8,6.4,6.329113924,0,0,487.378748
12-Feb-99,670,675,640,645,599709,16.4,6.7,6.097560976,0,0,469.192974
15-Feb-99,645,650,640,645,295302,16.4,6.7,6.097560976,0,0,469.192974
16-Feb-99,645,645,642,642,679338,16.4,6.7,6.097560976,0,0,467.010681
17-Feb-99,642,650,641,650,60628,16.2,6.6,6.172839506,0,0,472.830129
18-Feb-99,650,670,645,660,68258,16,6.5,6.25,0,0,480.104439
19-Feb-99,665,710,665,705,335606,15,6.1,6.666666667,0,0,512.838833
22-Feb-99,720,750,720,750,434684,14.1,5.7,7.092198582,0,0,545.573227
23-Feb-99,750,765,750,755,182652,14,5.7,7.142857143,0,0,549.210382
24-Feb-99,755,760,740,755,1279986,14,5.7,7.142857143,0,0,549.210382
25-Feb-99,755,760,750,760,2826946,13.9,5.7,7.194244604,0,0,552.847537
26-Feb-99,760,760,755,760,27277,13.9,5.7,7.194244604,0,0,552.847537
1-Mar-99,760,775,760,775,2977115,13.6,5.5,7.352941176,0,0,563.759002
2-Mar-99,780,800,780,800,3103920,13.2,5.4,7.575757576,0,0,581.944776
3-Mar-99,800,825,795,825,323640,12.8,5.2,7.8125,0,0,600.13055
4-Mar-99,825,900,815,900,455312,11.7,4.8,8.547008547,0,0,654.687873
5-Mar-99,900,900,835,850,166616,12.4,5.1,8.064516129,0,0,618.316324
8-Mar-99,855,885,855,885,169621,11.9,4.9,8.403361345,0,0,643.776408
9-Mar-99,885,950,885,900,1299271,11.7,4.8,8.547008547,0,0,654.687873
10-Mar-99,900,900,880,880,21404,12,4.9,8.333333333,0,0,640.139254
11-Mar-99,880,880,870,875,107913,12.1,4.9,8.26446281,0,0,636.502099
12-Mar-99,875,875,870,870,66575,12.1,4.9,8.26446281,0,0,632.864944
15-Mar-99,870,880,870,870,36224,12.1,4.9,8.26446281,0,0,632.864944
16-Mar-99,870,876,870,875,380397,12.1,4.9,8.26446281,0,0,636.502099
17-Mar-99,875,875,865,870,98238,12.1,4.9,8.26446281,0,0,632.864944
18-Mar-99,870,880,870,870,24587,12.1,4.9,8.26446281,0,0,632.864944
19-Mar-99,870,875,870,870,27772,12.1,4.9,8.26446281,0,0,632.864944
22-Mar-99,870,875,870,870,0,12.1,4.9,8.26446281,0,0,632.864944
23-Mar-99,875,945,875,895,329382,11.8,4.8,8.474576271,0,0,651.050718
24-Mar-99,895,900,880,880,1070105,12,4.9,8.333333333,0,0,640.139253
25-Mar-99,880,885,870,885,157766,11.9,4.9,8.403361345,0,0,643.776408
26-Mar-99,875,875,860,870,1050032,12.1,4.9,8.26446281,0,0,632.864943
29-Mar-99,855,855,830,850,87031,12.4,5.1,8.064516129,0,0,618.316324
30-Mar-99,860,880,860,870,283924,12.1,4.9,8.26446281,0,0,632.864943
31-Mar-99,870,870,860,860,259703,12.3,5,8.130081301,0,0,625.590633
1-Apr-99,860,870,850,860,28426,12.3,5,8.130081301,0,0,625.590633
2-Apr-99,860,870,850,860,0,12.3,5,8.130081301,0,0,625.590633
5-Apr-99,860,870,850,860,0,12.3,5,8.130081301,0,0,625.590633
6-Apr-99,860,860,855,855,2003,12.4,5,8.064516129,0,0,621.953478
7-Apr-99,855,855,850,850,939484,12.4,5.1,8.064516129,0,0,618.316323
8-Apr-99,845,845,840,845,265836,12.5,5.1,8,0,0,614.679168
9-Apr-99,850,860,850,850,197904,12.4,5.1,8.064516129,0,0,618.316323
12-Apr-99,900,960,900,940,5393660,11.2,4.6,8.928571429,0,0,683.78511
13-Apr-99,940,959,935,950,4948210,11.1,4.5,9.009009009,0,0,691.05942
14-Apr-99,950,970,950,960,3937911,11,4.5,9.090909091,0,0,698.33373
15-Apr-99,960,965,960,960,1374984,11,4.5,9.090909091,0,0,698.33373
16-Apr-99,960,960,950,955,207973,11.1,4.5,9.009009009,0,0,694.696575
19-Apr-99,955,980,955,968,427497,10.9,4.4,9.174311927,0,0,704.153178
20-Apr-99,965,965,945,950,610293,11.1,4.5,9.009009009,0,0,691.059421
21-Apr-99,950,960,945,950,389117,11.1,4.5,9.009009009,0,0,691.059421
22-Apr-99,950,960,925,930,3104733,11.4,4.6,8.771929825,0,0,676.510802
23-Apr-99,930,960,930,955,1628472,12.4,5,8.064516129,0,0,694.696576
