Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,1800,1810,1720,1800,0,9.5,2.9,10.52631579,-,-,186
4-Jan-99,1800,1800,1760,1800,445151,9.5,2.9,10.52631579,-,-,186
5-Jan-99,1800,1820,1785,1800,573997,9.5,2.9,10.52631579,-,-,186
6-Jan-99,1820,1990,1820,1950,2526593,8.8,2.7,11.36363636,-,-,201
7-Jan-99,1950,2025,1775,1840,1751973,9.3,2.8,10.75268817,-,-,190
8-Jan-99,1840,1910,1840,1880,1090530,9.1,2.8,10.98901099,-,-,194
11-Jan-99,1880,1890,1820,1870,328322,9.2,2.8,10.86956522,-,-,193
12-Jan-99,1870,1880,1820,1845,800751,9.3,2.8,10.75268817,-,-,190
13-Jan-99,1810,1810,1690,1700,613515,10.1,3,9.900990099,-,-,175
14-Jan-99,1700,1820,1650,1740,251261,9.9,3,10.1010101,-,-,180
15-Jan-99,1670,1670,1550,1615,984664,10.6,3.2,9.433962264,-,-,167
18-Jan-99,1655,1750,1655,1720,387924,10,3,10,-,-,177
19-Jan-99,1720,1745,1690,1715,499512,10,3,10,-,-,177
20-Jan-99,1715,1715,1695,1705,297738,10.1,3,9.900990099,-,-,176
21-Jan-99,1705,1720,1680,1700,560469,10.1,3,9.900990099,-,-,175
22-Jan-99,1700,1700,1675,1675,550076,10.3,3.1,9.708737864,-,-,173
25-Jan-99,1675,1680,1640,1680,352203,10.2,3.1,9.803921569,-,-,173
26-Jan-99,1680,1715,1660,1675,497491,10.3,3.1,9.708737864,-,-,173
27-Jan-99,1685,1830,1685,1820,904271,9.4,2.8,10.63829787,-,-,188
28-Jan-99,1820,1925,1750,1905,649421,9,2.7,11.11111111,-,-,197
29-Jan-99,1905,2000,1875,1895,1302258,9.1,2.7,10.98901099,-,-,196
1-Feb-99,1895,1960,1865,1895,782798,9.1,2.7,10.98901099,-,-,196
2-Feb-99,1895,1900,1820,1850,307701,9.3,2.8,10.75268817,-,-,191
3-Feb-99,1850,1880,1795,1795,1731580,9.6,2.9,10.41666667,-,-,185
4-Feb-99,1800,1860,1800,1840,578699,9.3,2.8,10.75268817,-,-,190
5-Feb-99,1880,2150,1880,1975,2138415,8.7,2.6,11.49425287,-,-,204
8-Feb-99,2015,2120,2015,2050,1502692,8.4,2.5,11.9047619,-,-,212
9-Feb-99,2050,2050,1975,1975,1439105,8.7,2.6,11.49425287,-,-,204
10-Feb-99,1880,1880,1700,1810,1436796,9.4,2.9,10.63829787,-,-,187
11-Feb-99,1810,1825,1760,1760,822114,9.7,3,10.30927835,-,-,182
12-Feb-99,1760,1800,1645,1645,1428088,10.4,3.2,9.615384615,-,-,170
15-Feb-99,1645,1650,1595,1600,726359,10.7,3.3,9.345794393,-,-,165
16-Feb-99,1600,1630,1540,1590,1766202,10.7,3.3,9.345794393,-,-,164
17-Feb-99,1590,1645,1545,1625,560321,10.5,3.3,9.523809524,-,-,168
18-Feb-99,1630,1675,1630,1650,463816,10.3,3.2,9.708737864,-,-,170
19-Feb-99,1650,1700,1605,1605,834849,10.6,3.3,9.433962264,-,-,166
22-Feb-99,1605,1625,1580,1600,487515,10.7,3.3,9.345794393,-,-,165
23-Feb-99,1605,1660,1605,1655,528864,10.3,3.2,9.708737864,-,-,171
24-Feb-99,1655,1730,1635,1725,881407,9.9,3.1,10.1010101,-,-,178
25-Feb-99,1725,1800,1705,1770,799860,9.6,3,10.41666667,-,-,183
26-Feb-99,1770,1770,1735,1760,2324949,9.7,3,10.30927835,-,-,182
1-Mar-99,1760,1760,1665,1665,613455,10.3,3.2,9.708737864,-,-,176
2-Mar-99,1665,1710,1660,1700,1144240,10,3.1,10,-,-,179
3-Mar-99,1705,1745,1705,1715,1069613,10,3.1,10,-,-,181
4-Mar-99,1715,1750,1705,1710,493340,10,3.1,10,-,-,180
5-Mar-99,1710,1770,1710,1760,1867058,9.7,3,10.30927835,-,-,186
8-Mar-99,1760,1800,1760,1770,970305,9.6,3,10.41666667,-,-,187
9-Mar-99,1770,1800,1760,1760,534157,9.7,3,10.30927835,-,-,186
10-Mar-99,1760,1775,1675,1700,955462,10,3.1,10,-,-,179
11-Mar-99,1700,1745,1700,1720,780439,9.9,3.1,10.1010101,-,-,181
12-Mar-99,1720,1720,1695,1705,348263,10,3.1,10,-,-,180
15-Mar-99,1705,1730,1700,1700,865809,10,3.1,10,-,-,179
16-Mar-99,1705,1750,1705,1750,1774185,9.8,3,10.20408163,-,-,185
17-Mar-99,1750,1770,1740,1745,1225657,9.8,3,10.20408163,-,-,184
18-Mar-99,1745,1750,1700,1705,1960772,10,3.1,10,-,-,180
19-Mar-99,1710,1755,1710,1730,680795,9.9,3.1,10.1010101,-,-,183
22-Mar-99,1730,1755,1710,1730,0,9.9,3.1,10.1010101,-,-,183
23-Mar-99,1730,1740,1700,1710,3299755,10,3.1,10,-,-,180
24-Mar-99,1710,1740,1665,1740,1016754,9.8,3,10.20408163,-,-,184
25-Mar-99,1740,1775,1705,1770,2288557,9.6,3,10.41666667,-,-,187
26-Mar-99,1770,1790,1750,1760,1497874,9.7,3,10.30927835,-,-,186
29-Mar-99,1760,1765,1750,1760,1399135,9.7,3,10.30927835,-,-,186
30-Mar-99,1760,1765,1750,1765,2060488,9.7,3,10.30927835,-,-,186
31-Mar-99,1760,1760,1720,1750,3338453,9.8,3,10.20408163,-,-,185
1-Apr-99,1750,1760,1720,1730,626075,9.9,3.1,10.1010101,-,-,183
2-Apr-99,1730,1760,1720,1730,0,9.9,3.1,10.1010101,-,-,183
5-Apr-99,1730,1760,1720,1730,0,9.9,3.1,10.1010101,-,-,183
6-Apr-99,1730,1735,1705,1720,1237061,9.9,3.1,10.1010101,-,-,181
7-Apr-99,1720,1720,1650,1680,1141003,10.2,3.2,9.803921569,-,-,177
8-Apr-99,1695,1720,1695,1700,2573521,10,3.1,10,-,-,179
9-Apr-99,1700,1730,1700,1710,2040164,10,3.1,10,-,-,180
12-Apr-99,1710,1710,1700,1700,997505,10,3.1,10,-,-,179
13-Apr-99,1700,1730,1700,1700,638690,10,3.1,10,-,-,179
14-Apr-99,1700,1715,1700,1715,1303312,10,3.1,10,-,-,181
15-Apr-99,1705,1705,1650,1660,1432291,10.3,3.2,9.708737864,-,-,175
16-Apr-99,1660,1695,1590,1650,2316271,10.3,3.2,9.708737864,-,-,174
19-Apr-99,1650,1680,1605,1680,1447882,10.2,3.2,9.803921569,-,-,177
