Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,820,820,800,820,0,5.6,1.7,17.85714286,-,-,902.101187
4-Jan-99,820,825,800,825,542800,5.6,1.7,17.85714286,-,-,907.601804
5-Jan-99,815,815,810,815,1000,5.7,1.7,17.54385965,-,-,896.60057
6-Jan-99,825,840,825,840,53000,5.5,1.7,18.18181818,-,-,924.103655
7-Jan-99,845,850,845,845,56970,5.5,1.7,18.18181818,-,-,929.604272
8-Jan-99,845,850,765,850,66800,5.4,1.6,18.51851852,-,-,935.104889
11-Jan-99,850,860,850,850,21206,5.4,1.6,18.51851852,-,-,935.104889
12-Jan-99,850,850,840,840,68490,5.5,1.7,18.18181818,-,-,924.103655
13-Jan-99,830,830,765,765,20650,6,1.8,16.66666667,-,-,841.5944
14-Jan-99,765,790,765,790,165160,5.8,1.8,17.24137931,-,-,869.097485
15-Jan-99,790,790,765,770,25500,6,1.8,16.66666667,-,-,847.095017
18-Jan-99,780,790,780,790,61950,5.8,1.8,17.24137931,-,-,869.097485
19-Jan-99,790,790,775,780,210247,5.9,1.8,16.94915254,-,-,858.096251
20-Jan-99,780,780,770,770,89020,6,1.8,16.66666667,-,-,847.095017
21-Jan-99,765,765,740,750,71830,6.1,1.9,16.39344262,-,-,825.092549
22-Jan-99,750,750,736,750,77900,6.1,1.9,16.39344262,-,-,825.092549
25-Jan-99,750,750,738,750,68321,6.1,1.9,16.39344262,-,-,825.092549
26-Jan-99,755,765,755,765,30130,6,1.8,16.66666667,-,-,841.5944
27-Jan-99,770,800,770,791,27280,5.8,1.8,17.24137931,-,-,870.197608
28-Jan-99,785,785,780,780,98133,5.9,1.8,16.94915254,-,-,858.096251
29-Jan-99,780,790,770,780,936106,5.9,1.8,16.94915254,-,-,858.096251
1-Feb-99,780,781,780,780,35303,5.9,1.8,16.94915254,-,-,858.096251
2-Feb-99,780,780,740,750,26545,6.1,1.9,16.39344262,-,-,825.092549
3-Feb-99,745,745,736,740,1000,6.2,1.9,16.12903226,-,-,814.091315
4-Feb-99,740,750,740,750,78318,6.1,1.9,16.39344262,-,-,825.092549
5-Feb-99,775,780,775,776,83085,5.9,1.8,16.94915254,-,-,853.695757
8-Feb-99,780,790,780,790,66043,5.8,1.8,17.24137931,-,-,869.097485
9-Feb-99,790,800,775,800,394005,5.8,1.8,17.24137931,-,-,880.098719
10-Feb-99,795,795,785,790,102094,5.8,1.8,17.24137931,-,-,869.097485
11-Feb-99,790,810,790,810,216800,5.7,1.7,17.54385965,-,-,891.099953
12-Feb-99,825,885,825,850,276338,5.4,1.6,18.51851852,-,-,935.104889
15-Feb-99,850,855,850,855,44824,5.4,1.6,18.51851852,-,-,940.605506
16-Feb-99,855,860,855,855,198585,5.4,1.6,18.51851852,-,-,940.605506
17-Feb-99,855,860,850,860,210280,5.4,1.6,18.51851852,-,-,946.106123
18-Feb-99,860,860,855,860,112955,5.4,1.6,18.51851852,-,-,946.106123
19-Feb-99,860,880,860,870,82929,5.3,1.6,18.86792453,-,-,957.107357
22-Feb-99,880,910,880,900,209031,5.1,1.6,19.60784314,-,-,990.111059
23-Feb-99,910,951,910,950,166000,4.9,1.5,20.40816327,-,-,1045.117229
24-Feb-99,950,970,940,940,268390,4.9,1.5,20.40816327,-,-,1034.115995
25-Feb-99,900,900,890,890,20580,5.6,1.7,17.85714286,-,-,979.109825
26-Feb-99,880,880,865,875,81562,5.7,1.7,17.54385965,-,-,962.607974
1-Mar-99,875,875,855,865,443732,5.8,1.7,17.24137931,-,-,951.60674
2-Mar-99,865,865,855,865,198383,5.8,1.7,17.24137931,-,-,951.60674
3-Mar-99,865,870,864,870,393629,5.7,1.7,17.54385965,-,-,957.107357
4-Mar-99,870,875,866,875,421793,5.7,1.7,17.54385965,-,-,962.607974
5-Mar-99,880,920,880,910,289232,5.5,1.6,18.18181818,-,-,1001.112293
8-Mar-99,920,940,920,935,186776,5.3,1.6,18.86792453,-,-,1028.615378
9-Mar-99,935,940,935,935,254678,5.3,1.6,18.86792453,-,-,1028.615378
10-Mar-99,935,935,920,920,227550,5.4,1.6,18.51851852,-,-,1012.113527
11-Mar-99,925,935,925,935,902192,5.3,1.6,18.86792453,-,-,1028.615378
12-Mar-99,935,945,935,945,399250,5.3,1.6,18.86792453,-,-,1039.616612
15-Mar-99,945,950,945,950,141915,5.3,1.6,18.86792453,-,-,1053.368154
16-Mar-99,960,981,960,980,147410,5.1,1.5,19.60784314,-,-,1086.632411
17-Mar-99,980,1000,970,1000,208593,5,1.5,20,-,-,1108.808583
18-Mar-99,1000,1020,1000,1000,240920,5,1.5,20,-,-,1108.808583
19-Mar-99,1000,1010,1000,1005,874519,5,1.5,20,-,-,1114.352626
22-Mar-99,1005,1010,1000,1005,0,5,1.5,20,-,-,1114.352626
23-Mar-99,1005,1005,995,1000,194366,5,1.5,20,-,-,1108.808583
24-Mar-99,975,975,950,950,15000,5.3,1.6,18.86792453,-,-,1053.368154
25-Mar-99,945,945,920,921,33000,5.4,1.6,18.51851852,-,-,1021.212705
26-Mar-99,921,923,920,920,31323,5.4,1.6,18.51851852,-,-,1020.103896
29-Mar-99,920,920,920,920,12000,5.4,1.6,18.51851852,-,-,1020.103896
30-Mar-99,915,915,900,915,394850,5.5,1.6,18.18181818,-,-,1014.559853
31-Mar-99,900,900,889,900,125160,5.5,1.7,18.18181818,-,-,997.927724
1-Apr-99,900,910,880,880,15290,5.7,1.7,17.54385965,-,-,975.751552
2-Apr-99,880,910,880,880,0,5.7,1.7,17.54385965,-,-,975.751552
5-Apr-99,880,910,880,880,0,5.7,1.7,17.54385965,-,-,975.751552
6-Apr-99,890,900,890,890,9000,5.6,1.7,17.85714286,-,-,986.839638
7-Apr-99,890,900,890,899,38280,5.6,1.7,17.85714286,-,-,996.818915
8-Apr-99,899,900,895,899,85061,5.6,1.7,17.85714286,-,-,996.818915
9-Apr-99,899,910,899,900,202100,5.5,1.7,18.18181818,-,-,997.927724
12-Apr-99,900,916,900,900,11866,5.5,1.7,18.18181818,-,-,997.927724
13-Apr-99,900,920,900,920,56072,5.4,1.6,18.51851852,-,-,1020.103896
14-Apr-99,925,930,925,930,61568,5.4,1.6,18.51851852,-,-,1031.191982
15-Apr-99,930,932,915,925,113790,5.4,1.6,18.51851852,-,-,1025.647939
16-Apr-99,925,930,900,900,71380,5.5,1.7,18.18181818,-,-,997.927724
19-Apr-99,900,900,880,880,131520,5.7,1.7,17.54385965,-,-,975.751552
20-Apr-99,880,880,860,880,56200,5.7,1.7,17.54385965,-,-,975.751552
21-Apr-99,856,856,855,856,5820,5.8,1.8,17.24137931,-,-,949.140146
22-Apr-99,856,860,855,860,44565,5.8,1.7,17.24137931,-,-,953.57538
23-Apr-99,870,880,870,875,134442,5.7,1.7,17.54385965,-,-,970.207509
26-Apr-99,875,880,870,870,3423,5.7,1.7,17.54385965,-,-,964.663466
27-Apr-99,870,880,870,870,0,5.7,1.7,17.54385965,-,-,964.663466
28-Apr-99,851,851,844,844,1300,5.9,1.8,16.94915254,-,-,935.834443
