Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,3713.4357,3841.4852,3713.4357,3713.4357,0,10.92,3.93,9.157509158,-,-,130.440415
4-Jan-99,3713.4357,3841.4852,3713.4357,3841.4852,35293,10.53,3.81,9.496676163,-,-,134.93836
5-Jan-99,3841.4852,3841.4852,3809.4729,3809.4729,25694,10.66,3.81,9.380863039,-,-,133.813876
6-Jan-99,3809.4729,3841.4852,3809.4729,3835.0828,209500,10.53,3.81,9.496676163,-,-,134.713465
7-Jan-99,3835.0828,3841.4852,3803.0704,3803.0704,136616,10.66,3.81,9.380863039,-,-,133.588978
8-Jan-99,3822.2778,3841.4852,3822.2778,3828.6803,109908,10.66,3.81,9.380863039,-,-,134.488567
11-Jan-99,3828.6803,3841.4852,3809.4729,3809.4729,146500,10.66,3.81,9.380863039,-,-,133.813876
12-Jan-99,3809.4729,3841.4852,3777.4605,3815.8753,90200,10.66,3.81,9.380863039,-,-,134.038771
13-Jan-99,3803.0704,3803.0704,3662.2159,3675.0209,125365,11.04,3.93,9.057971014,-,-,129.091033
14-Jan-99,3675.0209,3700.6308,3578.9837,3649.411,108200,11.17,3.93,8.952551477,-,-,128.191444
15-Jan-99,3649.411,3809.4729,3585.3862,3777.4605,51719,10.79,3.81,9.267840593,-,-,132.689389
18-Jan-99,3809.4729,3841.4852,3809.4729,3841.4852,80750,10.53,3.81,9.496676163,-,-,134.93836
19-Jan-99,3841.4852,3841.4852,3815.8753,3841.4852,61468,10.53,3.81,9.496676163,-,-,134.93836
20-Jan-99,3841.4852,3841.4852,3828.6803,3841.4852,93369,10.53,3.81,9.496676163,-,-,134.93836
21-Jan-99,3828.6803,3828.6803,3617.3986,3649.411,510267,11.17,3.93,8.952551477,-,-,128.191444
22-Jan-99,3623.8011,3623.8011,3617.3986,3617.3986,65808,11.17,3.93,8.952551477,-,-,127.066957
25-Jan-99,3591.7887,3591.7887,3457.3367,3482.9466,138900,11.68,4.19,8.561643836,-,-,122.344114
26-Jan-99,3482.9466,3521.3615,3412.5194,3412.5194,84284,11.93,4.19,8.382229673,-,-,119.870245
27-Jan-99,3412.5194,3489.3491,3393.312,3489.3491,362320,11.68,4.06,8.561643836,-,-,122.569012
28-Jan-99,3489.3491,3649.411,3457.3367,3623.8011,104335,11.17,3.93,8.952551477,-,-,127.291855
29-Jan-99,3623.8011,3745.4481,3585.3862,3585.3862,182147,11.3,4.06,8.849557522,-,-,125.94247
1-Feb-99,3585.3862,3604.5937,3521.3615,3521.3615,41130,11.55,4.06,8.658008658,-,-,123.693499
2-Feb-99,3521.3615,3521.3615,3444.5318,3444.5318,81759,11.8,4.19,8.474576271,-,-,120.994732
