Date,Open,High,Low,Close,Volume,Earnings Yield (EY),Dividend Yield (DY),P:E Ratio (P:E),Trades,Trade Value,Total Return Index (TRI)
1-Jan-99,290,300,285,290,0,12.1,4.8,8.26446281,-,-,35
4-Jan-99,280,280,275,278,17483,12.6,5,7.936507937,-,-,33
5-Jan-99,278,278,272,275,750640,12.7,5.1,7.874015748,-,-,33
6-Jan-99,278,300,278,300,1225503,11.7,4.7,8.547008547,-,-,36
7-Jan-99,300,315,300,305,2531557,11.5,4.6,8.695652174,-,-,37
8-Jan-99,305,320,300,310,875069,11.3,4.5,8.849557522,-,-,37
11-Jan-99,310,315,305,314,498759,11.1,4.5,9.009009009,-,-,38
12-Jan-99,314,315,310,310,363612,11.3,4.5,8.849557522,-,-,37
13-Jan-99,310,310,290,290,888724,12.1,4.8,8.26446281,-,-,35
14-Jan-99,290,292,288,290,594619,12.1,4.8,8.26446281,-,-,35
15-Jan-99,290,290,256,283,92842,12.4,4.9,8.064516129,-,-,34
18-Jan-99,289,310,289,289,49794,12.1,4.8,8.26446281,-,-,35
19-Jan-99,275,275,260,265,2336774,13.2,5.3,7.575757576,-,-,32
20-Jan-99,265,275,260,260,149729,13.5,5.4,7.407407407,-,-,31
21-Jan-99,260,260,245,253,165409,13.8,5.5,7.246376812,-,-,30
22-Jan-99,253,265,250,260,456162,13.5,5.4,7.407407407,-,-,31
25-Jan-99,260,261,253,260,721627,13.5,5.4,7.407407407,-,-,31
26-Jan-99,262,268,262,265,2210530,13.2,5.3,7.575757576,-,-,32
27-Jan-99,267,290,267,290,1366472,12.1,4.8,8.26446281,-,-,35
28-Jan-99,290,312,289,312,1095395,11.2,4.5,8.928571429,-,-,37
29-Jan-99,312,333,312,333,1944256,10.5,4.2,9.523809524,-,-,40
1-Feb-99,340,344,340,342,2377402,10.2,4.1,9.803921569,-,-,41
2-Feb-99,342,343,320,320,2104349,10.9,4.4,9.174311927,-,-,38
3-Feb-99,320,320,310,320,1244965,10.9,4.4,9.174311927,-,-,38
4-Feb-99,320,320,290,295,521188,11.9,4.7,8.403361345,-,-,35
